	author	intl_frac	weight	pub_date_avg	books	wordcount	ethnicity	corpus
11	Charlton, Lewis	1.0	0.28852439615731523	1885.0	1	10109	Nonwhite	Foreign
40	Rattray, Robert Sutherland	0.9754959159859977	0.6267240145559386	1929.0	1	221576	White	Foreign
25	Karve, Dhondo Keshav	0.9725829725829727	1.7615920487730903	1936.0	1	63745	Nonwhite	Foreign
0	Ali, Ahmed	0.9680851063829786	0.32253638748119634	1940.0	1	94449	Nonwhite	Foreign
24	Karaka, Dosabhai Framji	0.9636929460580911	1.5016979635168852	1884.0	1	104019	Nonwhite	Foreign
8	Brookes, Edgar	0.9627733630969197	1.8581628561040964	1930.5	2	289550	White	Foreign
46	Smuts, Jan	0.9595959595959594	2.2513469896355147	1930.0	1	49878	White	Foreign
50	Van Der Post, Laurens	0.9520000000000001	0.1928258538353375	1934.0	1	105042	White	Foreign
32	Nehru, S.K.	0.9421661409043108	1.1728515532609605	1936.0	1	131388	Nonwhite	Foreign
49	Tagore, Rabindranath	0.9411983899638867	8.27919364277224	1923.0	18	1004212	Nonwhite	Foreign
29	Marais, Johannes Stephanus	0.9393694421988686	1.39929235085696	1939.0	1	143245	Nonwhite	Foreign
36	Pennell, Alice M. Sorabji	0.9384943762039378	3.0713346304342752	1914.5	2	194735	Nonwhite	Foreign
7	Blyden, Edward Wilmott	0.9354593773728166	2.114132009819383	1887.0	1	201884	Nonwhite	Foreign
3	Azikiwe, Benjamin Nnamdi	0.9345372460496616	1.7903542097860303	1937.0	1	120283	Nonwhite	Foreign
23	James, C.L.R. [Cyril Lionel Robert]	0.929604192522069	6.874755914206637	1937.25	4	497192	Nonwhite	Foreign
41	Reitz, Deneys	0.9271758436944938	0.7461593391044399	1938.0	1	122263	White	Foreign
27	Loram, Charles Templeman	0.9249999999999998	0.9595622928222489	1917.0	1	128339	White	Foreign
51	Walrond, Eric	0.9230769230769229	0.3814534862668515	1926.0	1	55223	Nonwhite	Foreign
33	Nyabongo, Hosea Akiki	0.9204545454545454	0.15852748324444232	1936.0	1	89949	Nonwhite	Foreign
39	Ramabai, Pandita	0.9197860962566846	0.9209251665350584	1884.0	1	32903	Nonwhite	Foreign
35	Padmore, George	0.9187499999999995	3.0828388679963603	1936.0	1	151377	Nonwhite	Foreign
16	Frankel, Sally	0.9098250336473751	2.3194738659204823	1938.0	1	207624	White	Foreign
22	Jabavu, Davidson Don Tengo	0.9070422535211271	0.9454909579477856	1920.0	1	60840	Nonwhite	Foreign
17	Gaunt, Mary	0.898452611218569	1.1944920468582343	1911.0	1	140267	White	Foreign
13	Dover, Cedric	0.8971900309879773	3.4892587547088776	1938.0	2	132788	Nonwhite	Foreign
2	Anand, Mulk Raj	0.8907972931195272	5.3969765287022975	1935.5	10	730692	Nonwhite	Foreign
21	Huxley, Elspeth	0.8889614630960164	1.88508498176947	1935.0	1	131602	White	Foreign
43	Scholes, Theophilus Edward Samuel	0.8884354819168758	5.073981415721305	1902.0	2	357023	Nonwhite	Foreign
38	Plomer, William	0.8841507025892735	5.181209662093622	1931.0	6	465459	White	Foreign
26	Kenyatta, Jomo	0.8834080717488789	0.29903825843301335	1938.0	1	120836	Nonwhite	Foreign
10	Casely Hayford, J. E. 	0.8765690376569041	1.2195431690053327	1911.0	1	63511	Nonwhite	Foreign
48	Stead, Christina	0.8757702706911027	2.364716264761157	1936.5	4	925607	White	Foreign
37	Plaatje, Sol	0.8753287984053523	2.43812233750844	1911.5	2	232064	Nonwhite	Foreign
52	de Kiewiet, Cornelis	0.8707551951343141	2.2149382615648903	1937.0	1	144339	White	Foreign
6	Blyden, E. W.	0.8637873754152825	1.665252843022304	1908.0	1	29289	Nonwhite	Foreign
47	Sorabji, Cornelia	0.8476515370686627	2.8262280957402246	1923.6666666666667	3	252831	Nonwhite	Foreign
1	Ali, Mohomed Duse	0.8332456601788525	2.481293357281477	1911.0	1	124143	Nonwhite	Foreign
9	Campbell, Roy	0.8176280248084117	2.8211524108561576	1932.6666666666667	3	90278	White	Foreign
44	Schreiner, Olive	0.8044236146507853	7.171757751435692	1909.6666666666667	9	776147	White	Foreign
34	Omoniyi, Bandele	0.8039215686274509	0.742939512328784	1908.0	1	33370	Nonwhite	Foreign
15	Dutt, Romesh Chunder	0.7729115977291159	3.4924961109606354	1890.0	1	114413	Nonwhite	Foreign
12	Constantine , Learie	0.7521578298397035	1.7017148676661626	1933.0	1	77224	Nonwhite	Foreign
14	Duncan, Sara Jeannette	0.718063302284219	3.8858865687046587	1894.75	4	353206	White	Foreign
28	Malabari, Behramji M.	0.7090948095786456	2.0068237654615966	1891.0	2	186762	Nonwhite	Foreign
45	Shiel, Matthew Phipps	0.6578414426457416	8.347648647423425	1908.0833333333333	12	1425703	Nonwhite	Foreign
31	Mukharji, T.N.	0.6570666666666688	2.3238301393475336	1889.0	1	130742	Nonwhite	Foreign
5	Bliss, Eliot	0.6275862068965521	0.22478864434376147	1931.0	1	104523	White	Foreign
18	Gee, Bhagvat Sinh	0.6042253521126728	2.157110656674635	1886.0	1	53334	Nonwhite	Foreign
