	author	intl_frac	weight	pub_date_avg	books	wordcount	ethnicity	corpus
2542	Long, Alice Mattie,	1.0	0.027457611855633446	1906.0	1	25963		Hathi
1769	Hahn, Emily,	1.0	0.3229649673412314	1935.0	1	50768		Hathi
3340	Pulman, Seraphima,	1.0	0.07571500140987868	1917.0	1	42369		Hathi
3349	Pyle, Howard,	1.0	0.13525813460343072	1915.0	1	89599		Hathi
1700	Gregor, James,	1.0	0.1942810619389021	1894.0	1	44032		Hathi
77	Adolph, Karl,	1.0	0.44547370040038176	1922.0	1	63211		Hathi
3142	Packard, Frank Lucius,	1.0	0.41714137931870665	1914.0	1	84594		Hathi
1605	Gliński, A. J.	1.0	0.09969580525541771	1920.0	1	25027		Hathi
3137	Owen, William Charles.	1.0	1.5903669305249548	1920.0	1	1793		Hathi
3497	Rodenberg, Julius,	1.0	1.050436544589607	1881.0	1	66508		Hathi
686	Carleton, Henry Guy,	1.0	0.2197088483484111	1884.0	1	9734		Hathi
4259	Weedon, L. L.	1.0	0.8904346447761818	1900.0	1	4003		Hathi
2193	Jegerlehner, Johannes,	1.0	0.5902812050333561	1926.0	1	56158		Hathi
1573	Gide, André,	1.0	0.2977430689889426	1919.0	1	16760		Hathi
2236	Jones, Elizabeth Orton,	1.0	1.928271508271061	1937.0	1	14788		Hathi
1531	Garstin, Norman,	1.0	0.020626178363746632	1900.0	1	34562		Hathi
999	Dahn, Felix,	1.0	0.6899057883312517	1883.0	1	45982		Hathi
1415	Fleuron, Svend,	1.0	0.39562479872632883	1933.0	1	63067		Hathi
4062	Tolstoy, Aleksey Nikolayevich, graf,	1.0	0.34026232490315345	1940.0	1	43997		Hathi
4016	Theuriet, André,	1.0	0.4639204380175628	1900.0	1	26123		Hathi
546	Bromby, Charles Hamilton.	1.0	3.3106077781461947	1905.0	1	106482		Hathi
3717	Sinués de Marco, María del Pilar,	1.0	2.180377337942659	1890.0	1	28118		Hathi
3966	Sītā Debī,	1.0	0.8521358693552664	1922.0	1	43084		Hathi
1143	Dobson, Margaret.	1.0	0.13016396008760794	1935.0	1	13692		Hathi
2773	Matveev, Vladimir.	1.0	1.3226380628480359	1933.0	1	53629		Hathi
2548	Lorenzini, Paolo	1.0	0.39898359166628294	1919.0	1	45562		Hathi
2768	Matthews, W. R. (Walter Robert),	1.0	0.061354847801687845	1933.0	1	11619		Hathi
3788	Sorabji, Cornelia.	1.0	0.33401864022916705	1904.0	1	33081		Hathi
465	Bone, Gertrude Helena Dodd.	1.0	0.14234863750155974	1924.0	1	7512		Hathi
1759	Gusev-Orenburgskiĭ, S. I. (Sergeĭ Ivanovich),	1.0	0.1270524063054162	1925.0	1	78553		Hathi
3856	Stephen, A. Condie.	1.0	0.18764210289743452	1892.0	1	36092		Hathi
4103	Trueba, Antonio de,	0.9983766233766234	1.1605484811552522	1895.0	1	189193		Hathi
1789	Hall, Jennie,	0.9976744186046511	3.4773941594218925	1913.0	1	44076		Hathi
3057	Nivedita,	0.9975186104218362	1.9962577672441892	1913.0	1	143915		Hathi
4387	Woodward, William Harrison,	0.9974619289340102	3.112435300061825	1929.0	1	90243		Hathi
1294	Erckman, Emile,	0.997093023255814	1.3825122191953225	1909.0	1	177381		Hathi
3201	Peattie, Donald Culross,	0.9966101694915254	1.1449144886232916	1932.0	1	91841		Hathi
1022	Dautert, Erich,	0.9965034965034965	1.560824378836017	1937.0	1	65313		Hathi
1856	Harry, Myriam.	0.9964539007092199	2.0443658656979014	1905.0	1	98335		Hathi
3999	Teegan, Thomas Henry.	0.9964179104477612	5.263823522645716	1900.0	1	113423		Hathi
3884	Stoi͡anov, Zakhari,	0.9963503649635036	1.8533632684695256	1913.0	1	105392		Hathi
3218	Perey, Lucien,	0.995983935742972	1.5797833090844362	1887.0	1	56181		Hathi
3610	Schultz, James Willard,	0.9958677685950413	1.1085742819997908	1907.0	1	155621		Hathi
1295	Erckmann, Emile,	0.9957264957264957	1.410549310228365	1909.0	1	177393		Hathi
586	Brun, Vincenz,	0.9956803455723542	2.5786680664495965	1936.0	1	127998		Hathi
294	Bates, Katharine Lee,	0.9955357142857143	2.4494656209373744	1913.0	1	65192		Hathi
3575	Salamon,	0.9955257270693512	1.4954302614116737	1911.0	1	106544		Hathi
835	Coignet, Jean Roch,	0.9954682779456193	1.9111188578281575	1928.0	1	123469		Hathi
1808	Hamilton, Mary Agnes,	0.9954648526077098	2.3486504279527507	1916.0	1	66928		Hathi
4471	comte de, Gobineau, Arthur,	0.9953051643192489	0.8010501435853468	1926.0	1	94778		Hathi
