	author	intl_frac	weight	pub_date_avg	books	wordcount	ethnicity	corpus
60	Milne, A. A.	1.0	0.1475431534076506	1928.0	1	35514	White	Prominent
93	Weyman, Stanley J.	0.9867549668874173	0.9765378166620213	1893.0	1	173620	White	Prominent
31	Graves, Robert	0.9385515420071142	5.0469036533137155	1934.0	2	409424	White	Prominent
30	Grahame, Kenneth	0.9365079365079365	0.3352048387975615	1908.0	1	70343	White	Prominent
66	Pater, Walter	0.9354899327905769	2.807490192864201	1886.0	2	184554	White	Prominent
45	Jefferies, Richard	0.9336283185840708	0.6146040417354581	1882.0	1	137627	White	Prominent
38	Hope, Anthony	0.9206349206349207	0.7143190286292386	1894.0	1	66019	White	Prominent
98	Yeats, William Butler	0.8947387014916636	1.9856806942776228	1895.0	2	54058	White	Prominent
78	Schreiner, Olive	0.8711656441717792	0.47252164044635964	1883.0	1	129109	White	Prominent
47	Joyce, James	0.8640600275941421	3.7939834354986632	1922.75	4	765878	White	Prominent
75	Rolfe, Frederick	0.858882455062904	6.824289648163591	1908.4	5	556712	White	Prominent
37	Hartley, Leslie Poles	0.8534534742472316	1.1837968997557247	1925.0	2	78076	White	Prominent
82	Somerville, Edith	0.8461538461538458	0.46972072043788154	1899.0	1	165735	White	Prominent
17	Christie, Agatha	0.8453973964930015	1.2477128117675973	1930.0	2	166406	White	Prominent
51	Lewis, C. S.	0.8190069991071303	0.42283407172374093	1935.5	2	147402	White	Prominent
61	Moore, George	0.8141752747002187	3.17093785195966	1905.0	2	367171	White	Prominent
101	du Maurier, George	0.8093220338983045	1.4682079536911101	1894.0	1	60161	White	Prominent
16	Childers, Erskine	0.8030303030303023	1.6664736187386064	1903.0	1	133407	White	Prominent
63	Myers, L. H.	0.801143615093466	4.0355317397332096	1930.5	6	683667	White	Prominent
74	Rider Haggard, H.	0.7994962114126422	1.7626189997192274	1886.0	2	278758	White	Prominent
20	Conrad, Joseph	0.7891063428554621	20.414253971701655	1910.3333333333333	24	2659519	White	Prominent
42	Isherwood, Christopher	0.788535492002766	3.417387863792533	1935.3333333333333	3	235132	White	Prominent
48	Kipling, Rudyard	0.7873427397893831	17.017410749162845	1897.6	10	1020993	White	Prominent
12	Buchan, John	0.7800358149280879	4.5985082285504815	1913.6666666666667	3	253201	White	Prominent
52	Lewis, Wyndham	0.779181861448304	4.114015315452947	1928.6666666666667	6	906827	White	Prominent
18	Compton-Burnett, Ivy	0.7722692795451068	2.3385051882478596	1930.0	8	777546	White	Prominent
24	Firbank, [Arthur Annesley] Ronald	0.7689462489471205	12.044698138558147	1920.0	10	294773	White	Prominent
23	Douglas, Norman [George]	0.7681011967753413	1.9236124486778396	1916.25	4	349347	White	Prominent
53	MacDonald, George	0.7599999999999999	0.13900953224900886	1883.0	1	67311	White	Prominent
57	Mason, A. E. W.	0.7415384615384619	1.71837285011859	1902.0	1	141575	White	Prominent
56	Mansfield, Katherine	0.7362439335164456	2.572409661804258	1921.6666666666667	6	378856	White	Prominent
68	Powell, Anthony	0.7181208053691277	0.8955668688978602	1932.0	1	62270	White	Prominent
49	Lawrence, D. H.	0.714842036759602	16.360308596080703	1921.7368421052631	19	2621119	White	Prominent
92	West, Rebecca	0.7033128143689185	3.707046297704127	1928.0	5	609336	White	Prominent
58	Maugham, William Somerset	0.702291413015335	22.978122506517266	1919.4545454545455	22	2277960	White	Prominent
62	Munro, Hector Hugh	0.6952543499519686	6.866431866337325	1910.6666666666667	6	321293	White	Prominent
54	Macaulay, Rose	0.6885188495035076	22.939923209219348	1923.1875	16	1579123	White	Prominent
6	Beckett, Samuel	0.6811725201414656	1.5166196694835838	1935.5	2	133049	White	Prominent
10	Bentley, E. C.	0.6746987951807231	1.075651332261334	1913.0	1	86640	White	Prominent
44	James, Henry	0.6739864855802367	10.917223440395114	1897.8	15	2284521	White	Prominent
76	Sassoon, Siegfried	0.6715469349430423	3.1831366891766333	1933.0	2	155483	White	Prominent
41	Huxley, Aldous	0.6588576060132709	11.420104740611425	1926.6923076923076	13	1329804	White	Prominent
35	Hall, Radclyffe	0.6527050610820234	1.0960879628838038	1928.0	1	195659	White	Prominent
11	Bowen, Elizabeth	0.6507625079632109	8.85767382775506	1930.7777777777778	9	804859	White	Prominent
1	Allen, Grant	0.6465229524950691	8.528761071477943	1897.2	5	414878	White	Prominent
