	author	london_frac	weight	pub_date_avg	books	wordcount	ethnicity	corpus
15	Frankel, Sally	0.865671641791045	1.1339076220020383	1938.0	1	207624	White	Foreign
29	Markino, Yoshio	0.7869901224136823	18.11371162174572	1911.8	5	341385	Nonwhite	Foreign
41	Rhys, Jean	0.7057200323751022	4.388155345172697	1932.75	4	252796	White	Foreign
10	Casely Hayford, J. E. 	0.6610169491525424	0.8160626382574295	1911.0	1	63511	Nonwhite	Foreign
18	Ghose, Sudhindra Nath	0.5842696629213484	1.0491500235256415	1928.0	1	74520	Nonwhite	Foreign
19	Haldar, Rakhal Das	0.5641025641025639	5.714459464968798	1903.0	1	41967	Nonwhite	Foreign
47	Stead, Christina	0.5628170159131834	1.5926002496954708	1936.5	4	925607	White	Foreign
13	Duncan, Sara Jeannette	0.5597552022734082	5.9394185333620175	1894.75	4	353206	White	Foreign
27	Malabari, Behramji M.	0.541802624757198	3.164921245098804	1891.0	2	186762	Nonwhite	Foreign
24	Karve, Dhondo Keshav	0.5263157894736842	0.2618351270219891	1936.0	1	63745	Nonwhite	Foreign
50	Walrond, Eric	0.5	0.15907445288354008	1926.0	1	55223	Nonwhite	Foreign
21	Jabavu, Davidson Don Tengo	0.45454545454545475	0.4764805405693542	1920.0	1	60840	Nonwhite	Foreign
17	Gee, Bhagvat Sinh	0.4377224199288268	4.6283116806467675	1886.0	1	53334	Nonwhite	Foreign
32	Nyabongo, Hosea Akiki	0.42857142857142866	0.06836316088129286	1936.0	1	89949	Nonwhite	Foreign
36	Plaatje, Sol	0.40404924619664256	1.647873389853263	1911.5	2	232064	Nonwhite	Foreign
25	Kenyatta, Jomo	0.3846153846153845	0.1890155097001565	1938.0	1	120836	Nonwhite	Foreign
44	Shiel, Matthew Phipps	0.38196028555208583	15.484378173818518	1908.0833333333333	12	1425703	Nonwhite	Foreign
2	Anand, Mulk Raj	0.38105494426780046	3.195112358480912	1935.5	10	730692	Nonwhite	Foreign
22	James, C.L.R. [Cyril Lionel Robert]	0.3743789486019292	2.6236523041947137	1937.25	4	497192	Nonwhite	Foreign
5	Bliss, Eliot	0.3703703703703704	0.45383953735133653	1931.0	1	104523	White	Foreign
14	Dutt, Romesh Chunder	0.36964285714285616	4.299649835673511	1890.0	1	114413	Nonwhite	Foreign
46	Sorabji, Cornelia	0.3466432899780359	2.334250649971385	1923.6666666666667	3	252831	Nonwhite	Foreign
16	Gaunt, Mary	0.34285714285714336	0.6575885231142826	1911.0	1	140267	White	Foreign
0	Ali, Ahmed	0.33333333333333326	0.05580515523671654	1940.0	1	94449	Nonwhite	Foreign
37	Plomer, William	0.3319850190904508	3.254069116183063	1931.0	6	465459	White	Foreign
35	Pennell, Alice M. Sorabji	0.3261602793405527	1.024104244663282	1914.5	2	194735	Nonwhite	Foreign
4	Baijnath, Lala	0.3175542406311637	4.3405740637913075	1893.0	1	102608	Nonwhite	Foreign
9	Campbell, Roy	0.31729590691105986	2.789246219426533	1932.6666666666667	3	90278	White	Foreign
6	Blyden, E. W.	0.3170731707317074	1.229701625098491	1908.0	1	29289	Nonwhite	Foreign
26	Loram, Charles Templeman	0.31578947368421045	0.3901545166788746	1917.0	1	128339	White	Foreign
7	Blyden, Edward Wilmott	0.3	0.7397201595816976	1887.0	1	201884	Nonwhite	Foreign
23	Karaka, Dosabhai Framji	0.28571428571428564	0.29558051693014803	1884.0	1	104019	Nonwhite	Foreign
28	Marais, Johannes Stephanus	0.27999999999999997	0.4599411067535202	1939.0	1	143245	Nonwhite	Foreign
51	de Kiewiet, Cornelis	0.24705882352941191	1.5519471317210665	1937.0	1	144339	White	Foreign
8	Brookes, Edgar	0.2425477124148535	0.37500735003553504	1930.5	2	289550	White	Foreign
48	Tagore, Rabindranath	0.23926054934137098	2.6392434967614	1923.0	18	1004212	Nonwhite	Foreign
30	Mukharji, T.N.	0.23483670295489806	4.320323654947089	1889.0	1	130742	Nonwhite	Foreign
43	Schreiner, Olive	0.2163319770429044	7.604037128866862	1909.6666666666667	9	776147	White	Foreign
34	Padmore, George	0.2094017094017095	1.3579269186940741	1936.0	1	151377	Nonwhite	Foreign
3	Azikiwe, Benjamin Nnamdi	0.17241379310344818	0.6353827727177849	1937.0	1	120283	Nonwhite	Foreign
49	Van Der Post, Laurens	0.16666666666666669	0.05017746336658326	1934.0	1	105042	White	Foreign
20	Huxley, Elspeth	0.14705882352941166	1.13476744044157	1935.0	1	131602	White	Foreign
33	Omoniyi, Bandele	0.13333333333333336	0.7897424493486123	1908.0	1	33370	Nonwhite	Foreign
40	Reitz, Deneys	0.12195121951219515	0.2945840597524165	1938.0	1	122263	White	Foreign
1	Ali, Mohomed Duse	0.11987381703470026	2.243145580639515	1911.0	1	124143	Nonwhite	Foreign
12	Dover, Cedric	0.11239712916879016	1.9447805711640171	1938.0	2	132788	Nonwhite	Foreign
11	Constantine , Learie	0.1094527363184079	2.286463108397823	1933.0	1	77224	Nonwhite	Foreign
31	Nehru, S.K.	0.1090909090909091	0.36772861154544195	1936.0	1	131388	Nonwhite	Foreign
39	Rattray, Robert Sutherland	0.09523809523809522	0.08325628170169262	1929.0	1	221576	White	Foreign
42	Scholes, Theophilus Edward Samuel	0.08013770329490118	3.068860646562081	1902.0	2	357023	Nonwhite	Foreign
45	Smuts, Jan	0.07142857142857142	0.4931390960432587	1930.0	1	49878	White	Foreign
38	Ramabai, Pandita	0.0	0.40047572462637454	1884.0	1	32903	Nonwhite	Foreign
