	author	london_frac	weight	pub_date_avg	books	wordcount	ethnicity	corpus
4455	Ėrenburg, Ilʹi͡a,	1.0	0.6095537487373178	1934.0	1	18309		Hathi
3383	Rebek, Lillie.	1.0	0.09607216901358016	1893.0	1	38722		Hathi
113	Alinin, K.	1.0	0.19567668771074626	1920.0	2	50717		Hathi
2292	Kiddier, William,	1.0	0.2787222992840227	1933.0	1	4449		Hathi
3405	Replogle, Charles.	1.0	0.1080038592431774	1904.0	1	57407		Hathi
413	Bjørnson, B.	1.0	0.03756317428555122	1896.0	1	66024		Hathi
3404	Renn, Ludwig,	1.0	0.021807231519597226	1929.0	1	113727		Hathi
2349	Kúnos, Ignácz,	1.0	0.04903070299769155	1903.3333333333333	3	263260		Hathi
3400	Remizov, Alekseĭ,	1.0	0.018312567518490985	1927.0	1	67715		Hathi
2350	Kʻiačʻeli, Leo,	1.0	0.012201110953279122	1940.0	1	101633		Hathi
372	Berg, Frithjuv,	1.0	0.0808380520878513	1907.0	1	61359		Hathi
428	Blake, William,	1.0	0.6304654682308483	1893.0	1	13768		Hathi
366	Bercovici, Konrad,	1.0	0.020905582128171438	1922.0	1	59316		Hathi
2500	Linnankoski, Johannes,	1.0	0.015226743160620558	1920.0	1	81438		Hathi
3352	Rafy, K U .	1.0	0.053808140830731245	1920.0	1	46091		Hathi
2598	MacManus, Anna,	1.0	0.06086960089900928	1903.0	1	40744		Hathi
2611	Macdonald, W. A.	1.0	0.05316564523729279	1908.0	1	69972		Hathi
3347	Radford, Dollie.	1.0	0.06895790404641274	1904.0	1	35965		Hathi
2647	Magnus, Leonard Arthur,	1.0	0.010024782407937274	1915.0	1	123697		Hathi
2661	Malherbe, Henry,	1.0	0.042173775108479306	1918.0	1	29403		Hathi
2267	Kelly, Myra,	1.0	0.053962684545556555	1910.0	1	45959		Hathi
2243	Kataev, Valentin,	1.0	0.02125422946222541	1930.0	1	58343		Hathi
86	Aikin, Lucy,	1.0	0.042087890218735935	1890.0	1	29463		Hathi
4128	Vernaleken, Theodor,	1.0	0.012231680224845548	1884.0	1	101379		Hathi
88	Aimard, Gustave,	1.0	0.008097450744190682	1910.0	1	153139		Hathi
487	Bourhill, E. J.,	1.0	0.061686148018370184	1908.0	1	60307		Hathi
2024	Horne, R. H.	1.0	0.07623481553637139	1883.0	1	32532		Hathi
2034	Houghton, Louise Seymour,	1.0	0.019613677135134632	1906.0	1	63223		Hathi
4146	Vogdes, Walter.	1.0	0.02576643621981085	1929.0	1	96252		Hathi
2043	Howard, Blanche Willis,	1.0	0.05917823398664314	1899.0	1	83817		Hathi
476	Boschère, Jean de,	1.0	0.556784195488824	1919.5	2	84561		Hathi
2107	Hynam, F. Ethel.	1.0	0.05145162065950031	1899.0	1	24101		Hathi
2134	Isaacs, Abram S.	1.0	0.06052201227559261	1893.0	1	40978		Hathi
