	author	london_frac	weight	pub_date_avg	books	wordcount	ethnicity	corpus
49	Oliphant, Margaret	0.9790794979079498	3.0922852431937238	1894.0	1	49921		London
78	Yorke, Curtis	0.9696969696969698	2.043750457815269	1891.0	1	52146		London
0	Adcock, Arthur St. John	0.9	0.5979443277801255	1897.0	1	32406		London
17	Corelli , Marie	0.8999999999999999	0.44947770554494887	1897.0	1	14370		London
34	James, Henry	0.8857142857142857	0.8051505793659134	1886.0	1	84232		London
28	Hamilton, Patrick	0.8842443729903537	0.8285988481150045	1935.0	1	242427		London
72	Warden , Florence	0.8688524590163932	2.174625633897428	1887.0	1	54354		London
45	Maugham, W. Somerset	0.8484848484848486	0.45145790936070623	1897.0	1	47213		London
5	Bennett, Arnold	0.8463524287677572	1.9884846616548002	1910.5	2	179339		London
16	Burke, Thomas	0.8429720034777317	11.332498044188284	1925.142857142857	7	465118		London
30	Hichens, Robert	0.8427801374963767	1.2203775977243803	1897.5	2	339162		London
10	Besant, Walter	0.8349514563106789	0.898973632174118	1886.0	1	74004		London
20	Dixon, Ella Hepworth	0.823529411764706	1.3044684691687647	1894.0	1	75757		London
57	Rohmer, Sax	0.8176100628930834	0.9470841288504408	1916.0	1	108436		London
47	Morrison, Arthur	0.8157691164902859	4.3572724773173865	1897.75	4	299999		London
71	Ward, E. 	0.813953488372093	0.3766381918244659	1893.0	1	73741		London
68	Tomlinson, Henry	0.8095238095238091	1.2720756949609802	1921.0	1	53314		London
58	Rook, Clarence	0.8070175438596476	1.0953799968307907	1899.0	1	67221		London
54	Richardson, Dorothy	0.8004442947553688	5.871176208643257	1923.0	6	449965		London
19	Dickberry, F	0.798206278026906	1.7034946154433817	1904.0	1	84553		London
1	Aldington, Richard	0.7870967741935483	0.7242072970526201	1934.0	1	138240		London
12	Blumenfeld, Simon	0.7850467289719631	0.6347935422044759	1935.0	1	108872		London
56	Ridge, William Pett	0.7769972478375391	26.996607927604263	1906.1176470588234	17	1500268		London
18	Dawson, William J	0.7643979057591621	1.3200663143524196	1895.0	1	93455		London
51	Priestley, J. B.	0.7515012764330393	2.225033841116548	1933.0	2	395376		London
22	Firbank, Ronald	0.7492040797122659	1.166964298205151	1916.0	2	91216		London
9	Besant , Walter	0.7333333333333323	0.9675775209888382	1882.0	1	70092		London
43	MacFall, Haldane	0.732824427480916	0.3859458099104611	1905.0	1	219235		London
69	Wallace, Edgar	0.7311667125998437	3.2904226420375653	1914.5	2	189868		London
52	Pugh, Edwin	0.7283130164915455	1.982682279237121	1908.6	5	383067		London
59	Sangster, Rena U. N.	0.7228915662650602	0.9222055910350855	1909.0	1	58132		London
13	Bowen, Elizabeth	0.722465442143964	1.4074095278651872	1935.0	2	261159		London
23	Fletcher, J. S.	0.721212121212122	1.1341578572608997	1919.0	1	93967		London
21	Ervine, John St. John	0.7169811320754716	0.42404429055245124	1915.0	1	80729		London
63	Sims, George R	0.7142857142857137	1.2541831170367956	1900.0	1	133384		London
3	Baker, Henry Barton	0.7058177826564148	4.860759749143671	1899.0	1	121054		London
39	Lewis, Wyndham	0.7008547008547008	0.290501686248272	1930.0	1	260137		London
75	West, Rebecca	0.670000000000001	0.7143483187729106	1929.0	1	90418		London
79	Zangwill, Israel	0.6689522859435598	1.306380356556867	1899.3333333333333	3	352912		London
33	Huxley, Aldous	0.6666666666666682	0.6159132846660628	1923.0	1	110112		London
55	Riddell, Charlotte	0.6637554585152843	0.7689958927374145	1900.0	1	192343		London
11	Blackmore, R. D.	0.6617647058823525	0.5858264105081862	1890.0	1	74973		London
50	Powell , Anthony	0.6578947368421053	0.3529962116032772	1931.0	1	69531		London
70	Walpole, Hugh	0.6578073089701001	0.9568928028354777	1913.0	1	203174		London
26	Gissing, George	0.6570141326309579	11.851677158561104	1893.3333333333333	12	1226343		London
15	Burke , Thomas	0.6557377049180321	1.3727698419899532	1938.0	1	114804		London
77	Woolf, Virginia	0.6526456470181754	2.243662323567126	1922.0	2	278316		London
27	Grossmith, George and Weedon	0.6451612903225804	0.7519625706097399	1894.0	1	53255		London
46	Morgan, William De	0.6326878833673869	3.7977564358243856	1911.6666666666667	9	2457589		London
7	Benson, E. F.	0.6296950339949299	3.4391138487433737	1921.5	2	153863		London
2	Arlen, Michael	0.6122448979591835	1.273570407790663	1923.0	1	74552		London
32	Hume, Fergus W. 	0.6042872715903914	2.2769296743473593	1897.0	3	332814		London
66	Tey, Josephine	0.5866781168456683	1.3829513385608518	1930.0	2	179653		London
29	Hay, Ian	0.583333333333333	0.3054620302048199	1919.0	1	50748		London
