	author	london_frac	weight	pub_date_avg	books	wordcount	ethnicity	corpus
99	du Maurier, Daphne	0.8108108108108107	0.5717427161446494	1938.0	1	192825	White	Prominent
14	Carroll, Lewis	0.8000000000000002	0.5777095502485465	1889.0	1	85961	White	Prominent
6	Beckett, Samuel	0.7678772447746475	1.2831659193154228	1935.5	2	133049	White	Prominent
72	Richardson, Dorothy	0.7356467719469089	12.50590599954345	1921.3	10	702486	White	Prominent
95	Williams, Charles	0.7310694067546858	2.938283593078395	1931.3333333333333	3	269757	White	Prominent
2	Anstey, F.	0.6944444444444448	0.3024288093109839	1882.0	1	118228	White	Prominent
39	Hornung, E. W.	0.680000000000002	0.9326123903057949	1899.0	1	133122	White	Prominent
86	Warner, Sylvia	0.676190476190476	1.7362940639448945	1926.0	1	60063	White	Prominent
71	Rhys, Jean	0.6714953263772948	3.8735414631390968	1934.6666666666667	3	173364	White	Prominent
60	Moore, George	0.6671867284940579	1.5636574396901375	1905.0	2	367171	White	Prominent
92	Weyman, Stanley J.	0.6666666666666667	0.03432357376955326	1893.0	1	173620	White	Prominent
53	MacDonald, George	0.6666666666666666	0.08853320969633252	1883.0	1	67311	White	Prominent
69	Powys, Theodore Francis	0.6538442236999112	6.966095507531293	1928.5294117647059	17	1037683	White	Prominent
29	Gissing, George	0.629109391179155	4.568756027946747	1889.0	3	595031	White	Prominent
5	Barrie, J. M.	0.6266817731199551	2.3989190560827036	1897.0	2	100737	White	Prominent
32	Green, Henry	0.5990244709393789	1.7491475345746863	1932.5	2	156592	White	Prominent
11	Bowen, Elizabeth	0.5934279464008791	8.209012755273045	1930.7777777777778	9	804859	White	Prominent
34	Grossmith, George	0.5921052631578948	1.3544094198369199	1894.0	1	55732	White	Prominent
64	Orwell, George	0.5905706105724798	3.8021688878734654	1936.0	4	437617	White	Prominent
79	Sinclair, May	0.5865449795129773	1.118602923785857	1920.5	2	170662	White	Prominent
96	Woolf, Virginia	0.583857382301678	13.292401373160661	1924.4	10	1205859	White	Prominent
76	Sayers, Dorothy	0.5665858455296902	1.9743758596267142	1933.5	2	274368	White	Prominent
27	Galsworthy, John	0.5651563841956796	27.21882751185459	1916.5	28	3031741	White	Prominent
55	Mackenzie, Compton	0.5644820295983111	2.0270375151071027	1913.0	1	231761	White	Prominent
58	Maugham, William Somerset	0.559725650673767	18.153329381653176	1919.4545454545455	22	2277960	White	Prominent
94	Wilde, Oscar	0.5589550587670691	2.9706938080974794	1890.0	3	233308	White	Prominent
22	Disraeli, Benjamin	0.5574043261231275	2.9457266251805576	1880.0	1	202639	White	Prominent
8	Bennett, Arnold	0.5511692987638844	56.06611745628514	1912.825	40	4292264	White	Prominent
63	Nesbit, Edith	0.5500000000000002	0.26590539006701275	1906.0	1	74704	White	Prominent
7	Beerbohm, Max	0.5388761641441266	7.30789239130566	1910.2	5	233577	White	Prominent
61	Munro, Hector Hugh	0.536443453817232	5.552889304609386	1910.6666666666667	6	321293	White	Prominent
44	James, Henry	0.5332978974318616	9.444917924195208	1897.8	15	2284521	White	Prominent
