	author	occurs_100k	weight	pub_date_avg	books	wordcount	ethnicity	corpus
3	Baker, Henry Barton	1058.2054289821253	1.0	1899.0	1	121054		London
40	Lucas , E. V.	876.9682998524147	1.0	1908.0	1	81987		London
31	Hill, Robert H.	791.512991587581	1.0	1934.0	1	72393		London
14	Buchan, John	532.3328183623953	1.0	1916.0	1	113275		London
24	Forster, E.M.	526.6347620739381	1.0	1910.0	1	47851		London
49	Oliphant, Margaret	498.78808517457594	1.0	1894.0	1	49921		London
19	Dickberry, F	480.1721996854031	1.0	1904.0	1	84553		London
41	Lucas, E. V.	472.81767437497456	1.0	1906.0	1	106595		London
68	Tomlinson, Henry	459.54158382413715	1.0	1921.0	1	53314		London
72	Warden , Florence	402.91422894359226	1.0	1887.0	1	54354		London
78	Yorke, Curtis	396.9623748705553	1.0	1891.0	1	52146		London
69	Wallace, Edgar	384.717371019512	2.0	1914.5	2	189868		London
7	Benson, E. F.	384.3400407728005	2.0	1921.5	2	153863		London
56	Ridge, William Pett	377.97352986785006	17.0	1906.1176470588234	17	1500268		London
67	Thomas, Edward	376.9855793865753	1.0	1913.0	1	81966		London
79	Zangwill, Israel	376.87339992787537	3.0	1899.3333333333333	3	352912		London
59	Sangster, Rena U. N.	376.7288240555982	1.0	1909.0	1	58132		London
20	Dixon, Ella Hepworth	363.0027588209678	1.0	1894.0	1	75757		London
16	Burke, Thomas	359.690254402602	7.0	1925.142857142857	7	465118		London
64	Smith, Stevie	358.3664224996759	1.0	1936.0	1	69761		London
63	Sims, George R	334.37293828345156	1.0	1900.0	1	133384		London
36	Keeling, Annie E	326.2175928575507	1.0	1886.0	1	52419		London
2	Arlen, Michael	325.9469900203873	1.0	1923.0	1	74552		London
6	Benson , E. F.	316.77313763792836	1.0	1937.0	1	18941		London
18	Dawson, William J	315.6599432882133	1.0	1895.0	1	93455		London
22	Firbank, Ronald	315.3214652168643	2.0	1916.0	2	91216		London
23	Fletcher, J. S.	304.36216969787233	1.0	1919.0	1	93967		London
57	Rohmer, Sax	299.71596148880394	1.0	1916.0	1	108436		London
15	Burke , Thomas	291.801679383993	1.0	1938.0	1	114804		London
76	Whiteing, Richard	286.1681025623098	6.0	1901.8333333333333	6	555852		London
9	Besant , Walter	281.05917936426414	1.0	1882.0	1	70092		London
74	Waugh, Evelyn	278.7251547608362	2.0	1929.0	2	155770		London
32	Hume, Fergus W. 	275.1510431837485	3.0	1897.0	3	332814		London
51	Priestley, J. B.	274.69145557755496	2.0	1933.0	2	395376		London
53	Raymond, Ernest	274.09549259126396	3.0	1931.3333333333333	3	605180		London
13	Bowen, Elizabeth	270.21362850293224	2.0	1935.0	2	261159		London
38	Levy, Amy	269.9492495410863	1.0	1889.0	1	27783		London
25	Galsworthy, John	268.29553742507863	7.0	1918.7142857142858	7	830042		London
12	Blumenfeld, Simon	258.1012565214192	1.0	1935.0	1	108872		London
54	Richardson, Dorothy	255.5754074144983	6.0	1923.0	6	449965		London
65	Snaith, John Collins	251.23501900525906	4.0	1908.5	4	472102		London
26	Gissing, George	243.93845289105582	12.0	1893.3333333333333	12	1226343		London
47	Morrison, Arthur	241.25139666438685	4.0	1897.75	4	299999		London
44	Marsh, Richard	234.72953940848205	1.0	1897.0	1	134197		London
77	Woolf, Virginia	234.2133353441493	2.0	1922.0	2	278316		London
10	Besant, Walter	228.3660342684183	1.0	1886.0	1	74004		London
