	author	occurs_100k	weight	pub_date_avg	books	wordcount	ethnicity	corpus
31	Graves, Robert	674.2243020484756	2.0	1934.0	2	409424	White	Prominent
81	Smith, Stevie	527.3058126397364	2.0	1937.0	2	146889	White	Prominent
79	Shorthouse, Joseph Henry	503.59106722028815	1.0	1881.0	1	213864	White	Prominent
22	Disraeli, Benjamin	492.50144345363105	1.0	1880.0	1	202639	White	Prominent
57	Mason, A. E. W.	459.1206074518813	1.0	1902.0	1	141575	White	Prominent
1	Allen, Grant	455.7485837463826	5.0	1897.2	5	414878	White	Prominent
48	Kipling, Rudyard	454.6768741064908	10.0	1897.6	10	1020993	White	Prominent
16	Childers, Erskine	445.25399716656443	1.0	1903.0	1	133407	White	Prominent
76	Sassoon, Siegfried	425.24055539992025	2.0	1933.0	2	155483	White	Prominent
61	Moore, George	423.6108923285802	2.0	1905.0	2	367171	White	Prominent
12	Buchan, John	409.54827142023083	3.0	1913.6666666666667	3	253201	White	Prominent
101	du Maurier, George	392.28071341899147	1.0	1894.0	1	60161	White	Prominent
54	Macaulay, Rose	383.0728397357653	16.0	1923.1875	16	1579123	White	Prominent
85	Trollope, Anthony	381.32574118451674	2.0	1881.5	2	519488	White	Prominent
84	Thomas, Edward	376.9855793865753	1.0	1913.0	1	81966	White	Prominent
19	Conan Doyle, Arthur	375.86585819655966	7.0	1896.857142857143	7	967086	White	Prominent
66	Pater, Walter	375.0573115357518	2.0	1886.0	2	184554	White	Prominent
25	Ford, Ford Madox	372.0993169934247	29.0	1917.0	29	3355140	White	Prominent
75	Rolfe, Frederick	364.6673082010373	5.0	1908.4	5	556712	White	Prominent
55	Mackenzie, Compton	342.16283153766324	1.0	1913.0	1	231761	White	Prominent
0	Aldington, Richard	337.9600996970971	9.0	1933.6666666666667	9	1128464	White	Prominent
83	Stevenson, Robert Louis	337.13799605078765	10.0	1887.7	10	909088	White	Prominent
89	Waugh, Evelyn	334.93388821987895	6.0	1933.0	6	465478	White	Prominent
24	Firbank, [Arthur Annesley] Ronald	321.81427479884366	10.0	1920.0	10	294773	White	Prominent
91	Wells, H. G.	318.60253904290215	55.0	1916.290909090909	55	5514792	White	Prominent
9	Benson, E. F.	312.24472733847136	2.0	1923.5	2	208292	White	Prominent
62	Munro, Hector Hugh	305.76603997614984	6.0	1910.6666666666667	6	321293	White	Prominent
42	Isherwood, Christopher	304.35637446491586	3.0	1935.3333333333333	3	235132	White	Prominent
8	Bennett, Arnold	300.9434392759776	40.0	1912.825	40	4292264	White	Prominent
21	Delafield, E. M.	300.9114311556392	1.0	1930.0	1	57492	White	Prominent
35	Hall, Radclyffe	292.85644923054815	1.0	1928.0	1	195659	White	Prominent
46	Jerome, Jerome K.	291.96715993312307	1.0	1889.0	1	80146	White	Prominent
26	Forster, E. M.	291.20465204039004	8.0	1913.375	8	754279	White	Prominent
40	Household, Geoffrey	287.55563262239207	1.0	1939.0	1	69204	White	Prominent
10	Bentley, E. C.	287.39612188365686	1.0	1913.0	1	86640	White	Prominent
72	Rhys, Jean	281.5190488693883	3.0	1934.6666666666667	3	173364	White	Prominent
58	Maugham, William Somerset	279.06234781054894	22.0	1919.4545454545455	22	2277960	White	Prominent
15	Chesterton, G. K.	274.63662570790535	17.0	1919.5294117647059	17	1348440	White	Prominent
95	Wilde, Oscar	266.1731143673369	3.0	1890.0	3	233308	White	Prominent
98	Yeats, William Butler	265.2704058084073	2.0	1895.0	2	54058	White	Prominent
11	Bowen, Elizabeth	262.95810327057535	9.0	1930.7777777777778	9	804859	White	Prominent
93	Weyman, Stanley J.	260.9146411703719	1.0	1893.0	1	173620	White	Prominent
47	Joyce, James	253.4222970655508	4.0	1922.75	4	765878	White	Prominent
33	Greene, Graham	247.07470702351563	8.0	1935.375	8	758881	White	Prominent
29	Gissing, George	246.42179152514697	3.0	1889.0	3	595031	White	Prominent
7	Beerbohm, Max	244.5073267109915	5.0	1910.2	5	233577	White	Prominent
71	Priestley, J. B.	240.29644211223686	2.0	1929.5	2	542737	White	Prominent
87	Warner, Sylvia	239.74826432246155	1.0	1926.0	1	60063	White	Prominent
68	Powell, Anthony	239.28055243295347	1.0	1932.0	1	62270	White	Prominent
36	Hardy, Thomas	236.5719442764507	11.0	1888.3636363636363	11	1676538	White	Prominent
73	Richardson, Dorothy	236.37955845669927	10.0	1921.3	10	702486	White	Prominent
74	Rider Haggard, H.	235.4712208707994	2.0	1886.0	2	278758	White	Prominent
41	Huxley, Aldous	234.7124457039414	13.0	1926.6923076923076	13	1329804	White	Prominent
49	Lawrence, D. H.	230.06326259275565	19.0	1921.7368421052631	19	2621119	White	Prominent
27	Galsworthy, John	228.74032798564645	28.0	1916.5	28	3031741	White	Prominent
65	Orwell, George	227.82220129176957	4.0	1936.0	4	437617	White	Prominent
20	Conrad, Joseph	227.26452826962156	24.0	1910.3333333333333	24	2659519	White	Prominent
59	Meredith, George	225.59177556841087	1.0	1885.0	1	186177	White	Prominent
34	Grossmith, George	224.2876623842673	1.0	1894.0	1	55732	White	Prominent
3	Ashford, Daisy	224.20128292956332	1.0	1919.0	1	16057	White	Prominent
96	Williams, Charles	222.60679282201738	3.0	1931.3333333333333	3	269757	White	Prominent
43	Jacobs, W. W.	222.52021144278635	1.0	1901.0	1	102912	White	Prominent
39	Hornung, E. W.	212.58695031625192	1.0	1899.0	1	133122	White	Prominent
97	Woolf, Virginia	212.06611046596026	10.0	1924.4	10	1205859	White	Prominent
88	Waugh, Alec	203.79004361558106	1.0	1917.0	1	132980	White	Prominent
6	Beckett, Samuel	202.60775881052822	2.0	1935.5	2	133049	White	Prominent
92	West, Rebecca	198.09220658214056	5.0	1928.0	5	609336	White	Prominent
44	James, Henry	194.460019054119	15.0	1897.8	15	2284521	White	Prominent
69	Powys, John Cowper	193.50943474048904	9.0	1929.3333333333333	9	2518278	White	Prominent
38	Hope, Anthony	190.8541480482891	1.0	1894.0	1	66019	White	Prominent
52	Lewis, Wyndham	183.19939611929456	6.0	1928.6666666666667	6	906827	White	Prominent
63	Myers, L. H.	179.704478727244	6.0	1930.5	6	683667	White	Prominent
4	Bagnold, Enid	173.5512365525603	1.0	1935.0	1	89887	White	Prominent
77	Sayers, Dorothy	169.3160664501115	2.0	1933.5	2	274368	White	Prominent
13	Burnett, Frances Hodgston	169.205651471963	2.0	1898.5	2	171937	White	Prominent
17	Christie, Agatha	166.6840418319866	2.0	1930.0	2	166406	White	Prominent
45	Jefferies, Richard	164.21196422213671	1.0	1882.0	1	137627	White	Prominent
37	Hartley, Leslie Poles	158.14540822092053	2.0	1925.0	2	78076	White	Prominent
80	Sinclair, May	150.50802847132974	2.0	1920.5	2	170662	White	Prominent
5	Barrie, J. M.	149.03400383216214	2.0	1897.0	2	100737	White	Prominent
32	Green, Henry	146.34370955392598	2.0	1932.5	2	156592	White	Prominent
100	du Maurier, Daphne	142.6163619862568	1.0	1938.0	1	192825	White	Prominent
50	Lehmann, Rosamond	128.8392428905438	4.0	1931.25	4	452758	White	Prominent
23	Douglas, Norman [George]	128.4893025221535	4.0	1916.25	4	349347	White	Prominent
