	author	spec_nongb_subcountry	weight	pub_date_avg	books	wordcount	ethnicity	corpus
40	Rattray, Robert Sutherland	0.9210526315789469	0.7431797396196733	1929.0	1	221576	White	Foreign
36	Pennell, Alice M. Sorabji	0.8397438798587751	3.5038933674565014	1914.5	2	194735	Nonwhite	Foreign
42	Rhys, Jean	0.8032323850331992	1.4210730351032266	1932.75	4	252796	White	Foreign
0	Ali, Ahmed	0.7912087912087918	0.37956339802136957	1940.0	1	94449	Nonwhite	Foreign
25	Karve, Dhondo Keshav	0.7596439169139441	2.082687321128529	1936.0	1	63745	Nonwhite	Foreign
29	Marais, Johannes Stephanus	0.7444061962134234	1.5978535003325742	1939.0	1	143245	Nonwhite	Foreign
17	Gaunt, Mary	0.7308934337997824	1.304579373222054	1911.0	1	140267	White	Foreign
11	Charlton, Lewis	0.722222222222222	0.35073136919390036	1885.0	1	10109	Nonwhite	Foreign
19	Ghose, Sudhindra Nath	0.7169811320754714	0.28018399354774276	1928.0	1	74520	Nonwhite	Foreign
22	Jabavu, Davidson Don Tengo	0.7080745341614909	1.042502171817088	1920.0	1	60840	Nonwhite	Foreign
41	Reitz, Deneys	0.6973180076628339	0.8409801732678979	1938.0	1	122263	White	Foreign
20	Haldar, Rakhal Das	0.6787439613526567	1.943133854151272	1903.0	1	41967	Nonwhite	Foreign
52	de Kiewiet, Cornelis	0.6769499417927807	2.344497475622296	1937.0	1	144339	White	Foreign
48	Stead, Christina	0.6642641190396028	2.5174526263496833	1936.5	4	925607	White	Foreign
21	Huxley, Elspeth	0.6465833945628205	2.0370699291202614	1935.0	1	131602	White	Foreign
9	Campbell, Roy	0.6441467460446303	2.8039766189621584	1932.6666666666667	3	90278	White	Foreign
37	Plaatje, Sol	0.6382623557348811	2.5942915452350475	1911.5	2	232064	Nonwhite	Foreign
5	Bliss, Eliot	0.6373626373626374	0.17149040584235228	1931.0	1	104523	White	Foreign
50	Van Der Post, Laurens	0.5882352941176471	0.2231486590181681	1934.0	1	105042	White	Foreign
24	Karaka, Dosabhai Framji	0.5823466092572663	1.7591924066154914	1884.0	1	104019	Nonwhite	Foreign
14	Duncan, Sara Jeannette	0.5776903780782776	3.39191469181667	1894.75	4	353206	White	Foreign
45	Shiel, Matthew Phipps	0.5753134875033726	6.675402558474787	1908.0833333333333	12	1425703	Nonwhite	Foreign
2	Anand, Mulk Raj	0.5711850444968274	5.844151797248293	1935.5	10	730692	Nonwhite	Foreign
47	Sorabji, Cornelia	0.5686934447342806	2.912169393404998	1923.6666666666667	3	252831	Nonwhite	Foreign
18	Gee, Bhagvat Sinh	0.5664335664335628	1.5843949069352368	1886.0	1	53334	Nonwhite	Foreign
15	Dutt, Romesh Chunder	0.5619097586568819	3.2813898098755123	1890.0	1	114413	Nonwhite	Foreign
38	Plomer, William	0.5509052393422391	5.5686450050837495	1931.0	6	465459	White	Foreign
51	Walrond, Eric	0.5416666666666682	0.4280273812458735	1926.0	1	55223	Nonwhite	Foreign
27	Loram, Charles Templeman	0.536273115220483	1.0789640535614162	1917.0	1	128339	White	Foreign
26	Kenyatta, Jomo	0.5329949238578681	0.3211294886378067	1938.0	1	120836	Nonwhite	Foreign
49	Tagore, Rabindranath	0.5046170165008989	9.472427411854106	1923.0	18	1004212	Nonwhite	Foreign
30	Markino, Yoshio	0.4994834334798254	3.0588402442228704	1911.8	5	341385	Nonwhite	Foreign
8	Brookes, Edgar	0.4721941315415957	2.1747027844669167	1930.5	2	289550	White	Foreign
28	Malabari, Behramji M.	0.4634198543067908	1.7298387112467137	1891.0	2	186762	Nonwhite	Foreign
31	Mukharji, T.N.	0.45535714285714995	1.8561192962624904	1889.0	1	130742	Nonwhite	Foreign
32	Nehru, S.K.	0.4553571428571468	1.3432678176335557	1936.0	1	131388	Nonwhite	Foreign
33	Nyabongo, Hosea Akiki	0.43209876543209874	0.17737768458031897	1936.0	1	89949	Nonwhite	Foreign
12	Constantine , Learie	0.41475409836065597	1.5559220800819618	1933.0	1	77224	Nonwhite	Foreign
35	Padmore, George	0.3779289493575275	3.4430255682410396	1936.0	1	151377	Nonwhite	Foreign
39	Ramabai, Pandita	0.3662790697674417	1.029682309825101	1884.0	1	32903	Nonwhite	Foreign
43	Scholes, Theophilus Edward Samuel	0.3568420891668376	5.479826862143975	1902.0	2	357023	Nonwhite	Foreign
10	Casely Hayford, J. E. 	0.35322195704057247	1.2994972780611065	1911.0	1	63511	Nonwhite	Foreign
23	James, C.L.R. [Cyril Lionel Robert]	0.35261282163507945	7.768683472336672	1937.25	4	497192	Nonwhite	Foreign
1	Ali, Mohomed Duse	0.34027777777778007	2.513293703099963	1911.0	1	124143	Nonwhite	Foreign
13	Dover, Cedric	0.33933187073325055	3.805482122411315	1938.0	2	132788	Nonwhite	Foreign
16	Frankel, Sally	0.3369082840236709	2.5653075280939865	1938.0	1	207624	White	Foreign
3	Azikiwe, Benjamin Nnamdi	0.3365539452495999	2.033890868796896	1937.0	1	120283	Nonwhite	Foreign
44	Schreiner, Olive	0.326922175845026	7.012978260022082	1909.6666666666667	9	776147	White	Foreign
