	author	spec_nongb_subcountry	weight	pub_date_avg	books	wordcount	ethnicity	corpus
447	Bloxam, John Francis	1.0	0.2769109401278821	1907.0	1	8997		Hathi
2522	Littlejohn, Harvey,	1.0	0.13869612813518697	1925.0	1	32333		Hathi
1438	Foskett, Edward.	1.0	0.2962387310737878	1900.0	1	6728		Hathi
801	Cleadas,	1.0	0.32336760246574847	1886.0	1	13868		Hathi
2267	Kearton, Richard,	1.0	0.07430043029824805	1923.0	1	33531		Hathi
2375	Lady, Bone, Gertrude Helena Dodd,	1.0	0.08014694316649687	1925.0	1	37302		Hathi
428	Blake, Paul.	1.0	0.29775227563782064	1886.0	1	33469		Hathi
4143	Varty-Smith, Augusta A.	1.0	0.06262640176074222	1891.0	1	55694		Hathi
780	Christie, Mary Elizabeth,	1.0	0.0698351150197773	1880.0	1	49945		Hathi
454	Boden, Frederick C.	1.0	0.17320142007341274	1932.5	2	157033		Hathi
2536	Loeb, Sophie Irene,	1.0	0.16148584483237305	1919.0	1	27770		Hathi
4150	Veness, Molly.	1.0	0.08614408603906962	1928.0	1	92547		Hathi
2807	McDonnel, Emily Fanny Dorothy Osborn,	1.0	0.04060247275636498	1888.0	1	49088		Hathi
3635	Sellers, Tom,	1.0	0.36308492518783897	1934.0	1	8234		Hathi
3932	Summerhays, R. S. (Reginald Sherriff),	1.0	0.03961258843010211	1939.0	1	37736		Hathi
3637	Selous, Edmund,	1.0	0.009696867678624327	1912.0	1	51385		Hathi
3916	Stuckenberg, Viggo Henrik Fog,	1.0	0.21505116342948252	1917.0	1	16219		Hathi
1708	Grey, Edward.	1.0	0.06123230960399524	1891.0	1	56962		Hathi
2613	MacIlwaine, Herbert C.	1.0	0.014121798709503202	1907.0	1	35284		Hathi
3215	Pepys, Samuel,	1.0	0.3547693454368893	1913.0	1	11236		Hathi
1824	Hardinge, William M.	1.0	0.1644494284282286	1886.0	1	60599		Hathi
4056	Tinsley, Lily.	1.0	0.011747855558686073	1886.0	1	84828		Hathi
2303	Kerr, Telkin.	1.0	0.5905594827459656	1904.0	1	56530		Hathi
3388	Raven-Hill, L.	1.0	0.02802438389573178	1902.0	1	17780		Hathi
3369	Radford, Dollie.	1.0	0.6095936607620989	1904.0	1	35965		Hathi
1620	Golding, Harry.	1.0	0.2770495110737342	1915.0	1	3597		Hathi
1182	Drawbell, James Wedgwood,	1.0	0.013273136538788255	1935.0	1	37540		Hathi
3048	Nicholson, John Gambril,	1.0	2.53363950319973	1910.0	1	37366		Hathi
913	Court Treatt, Stella.	1.0	0.022738372938824657	1930.0	1	65740		Hathi
