	author	spec_nongb_subcountry	weight	pub_date_avg	books	wordcount	ethnicity	corpus
17	Corelli , Marie	1.0	0.3530876431499072	1897.0	1	14370		London
44	Marsh, Richard	0.9592760180995472	1.3926356332930718	1897.0	1	134197		London
8	Beresford, J. D.	0.9454545454545454	0.44620779770635144	1933.0	1	104235		London
71	Ward, E. 	0.9285714285714285	0.16054879476568515	1893.0	1	73741		London
11	Blackmore, R. D.	0.9245283018867922	0.5978042759824667	1890.0	1	74973		London
6	Benson , E. F.	0.923076923076923	0.5804014449856059	1937.0	1	18941		London
58	Rook, Clarence	0.8947368421052632	0.23902133561738925	1899.0	1	67221		London
21	Ervine, John St. John	0.891566265060241	0.8694338731255719	1915.0	1	80729		London
35	Johnson, Pamela Hansford	0.8888888888888887	0.2861339028373982	1935.0	1	106395		London
78	Yorke, Curtis	0.8809523809523806	0.6811085418718441	1891.0	1	52146		London
15	Burke , Thomas	0.8791208791208784	0.6703049230541316	1938.0	1	114804		London
3	Baker, Henry Barton	0.8621621621621622	2.5847028183892298	1899.0	1	121054		London
29	Hay, Ian	0.8604651162790699	0.7165352512373532	1919.0	1	50748		London
19	Dickberry, F	0.8579234972677597	1.8302486922753385	1904.0	1	84553		London
5	Bennett, Arnold	0.855207353133377	1.0233857535544355	1910.5	2	179339		London
30	Hichens, Robert	0.8406134052766021	1.5747476065855923	1897.5	2	339162		London
68	Tomlinson, Henry	0.8071428571428568	2.22062285231204	1921.0	1	53314		London
72	Warden , Florence	0.8055555555555555	0.560091558898793	1887.0	1	54354		London
47	Morrison, Arthur	0.8039220717122637	2.4557546163139343	1897.75	4	299999		London
52	Pugh, Edwin	0.803723451338404	2.625858733117551	1908.6	5	383067		London
45	Maugham, W. Somerset	0.8	0.08955636216127207	1897.0	1	47213		London
62	Silberrad, Una L	0.7982525053649862	1.3278648645802706	1906.3333333333333	3	428804		London
22	Firbank, Ronald	0.7967557727597848	3.8051499372954636	1916.0	2	91216		London
67	Thomas, Edward	0.7898550724637681	1.423748834119952	1913.0	1	81966		London
7	Benson, E. F.	0.7890069890996241	1.997638638164113	1921.5	2	153863		London
18	Dawson, William J	0.7884615384615385	0.9410632941605986	1895.0	1	93455		London
60	Sayer, Dorothy	0.7824229291584125	1.9811824314575626	1932.0	3	456251		London
69	Wallace, Edgar	0.7628635151293376	2.1986945864981773	1914.5	2	189868		London
48	Murray, David Christie	0.7627906976744184	0.8709344100986621	1880.0	1	208757		London
37	Lawless, Emily	0.7612903225806453	0.7380180645048752	1882.0	1	177604		London
43	MacFall, Haldane	0.7588075880758837	1.4233264308707356	1905.0	1	219235		London
16	Burke, Thomas	0.7580772551628047	6.454824980730244	1925.142857142857	7	465118		London
34	James, Henry	0.7543859649122807	0.5722499715619904	1886.0	1	84232		London
20	Dixon, Ella Hepworth	0.7540983606557359	1.3618369055265058	1894.0	1	75757		London
31	Hill, Robert H.	0.7528735632183906	4.065095065264881	1934.0	1	72393		London
59	Sangster, Rena U. N.	0.75	1.9783889617901969	1909.0	1	58132		London
63	Sims, George R	0.748663101604278	1.1855664644884945	1900.0	1	133384		London
40	Lucas , E. V.	0.7477203647416416	3.3934303469840916	1908.0	1	81987		London
53	Raymond, Ernest	0.7345783254266182	3.4759997848118593	1931.3333333333333	3	605180		London
73	Waugh, Alec	0.7307692307692322	0.7817169917406227	1925.0	1	112505		London
13	Bowen, Elizabeth	0.7272219312882178	2.7274423894322144	1935.0	2	261159		London
26	Gissing, George	0.7208067452770742	9.23740990339159	1893.3333333333333	12	1226343		London
74	Waugh, Evelyn	0.7197673854198325	2.0970016467240664	1929.0	2	155770		London
56	Ridge, William Pett	0.7189825140820272	18.99198415105722	1906.1176470588234	17	1500268		London
66	Tey, Josephine	0.7141619337247775	1.3765696745979874	1930.0	2	179653		London
23	Fletcher, J. S.	0.7107438016528925	1.0889251923188703	1919.0	1	93967		London
39	Lewis, Wyndham	0.6996197718631179	0.8549518526986912	1930.0	1	260137		London
57	Rohmer, Sax	0.6927710843373514	1.2945613475885163	1916.0	1	108436		London
