	author	spec_world_subcity	weight	pub_date_avg	books	wordcount	ethnicity	corpus
52	de Kiewiet, Cornelis	0.35681702990369746	2.2149382615648903	1937.0	1	144339	White	Foreign
50	Van Der Post, Laurens	0.32799999999999996	0.1928258538353375	1934.0	1	105042	White	Foreign
29	Marais, Johannes Stephanus	0.32578819725141206	1.39929235085696	1939.0	1	143245	Nonwhite	Foreign
9	Campbell, Roy	0.302743903193321	2.8211524108561576	1932.6666666666667	3	90278	White	Foreign
8	Brookes, Edgar	0.29895284001947026	1.8581628561040964	1930.5	2	289550	White	Foreign
12	Constantine , Learie	0.28976572133168943	1.7017148676661626	1933.0	1	77224	Nonwhite	Foreign
26	Kenyatta, Jomo	0.27354260089686094	0.29903825843301335	1938.0	1	120836	Nonwhite	Foreign
27	Loram, Charles Templeman	0.26973684210526305	0.9595622928222489	1917.0	1	128339	White	Foreign
2	Anand, Mulk Raj	0.2580888259998931	5.3969765287022975	1935.5	10	730692	Nonwhite	Foreign
37	Plaatje, Sol	0.25358804865614903	2.43812233750844	1911.5	2	232064	Nonwhite	Foreign
42	Rhys, Jean	0.25218480037667007	1.978457349368687	1932.75	4	252796	White	Foreign
21	Huxley, Elspeth	0.23383409536250677	1.88508498176947	1935.0	1	131602	White	Foreign
17	Gaunt, Mary	0.23210831721469977	1.1944920468582343	1911.0	1	140267	White	Foreign
30	Markino, Yoshio	0.22769511079354587	5.857534717789794	1911.8	5	341385	Nonwhite	Foreign
18	Gee, Bhagvat Sinh	0.22253521126760764	2.157110656674635	1886.0	1	53334	Nonwhite	Foreign
45	Shiel, Matthew Phipps	0.22061432750535706	8.347648647423425	1908.0833333333333	12	1425703	Nonwhite	Foreign
38	Plomer, William	0.21986316976858178	5.181209662093622	1931.0	6	465459	White	Foreign
51	Walrond, Eric	0.21538461538461592	0.3814534862668515	1926.0	1	55223	Nonwhite	Foreign
0	Ali, Ahmed	0.21276595744680887	0.32253638748119634	1940.0	1	94449	Nonwhite	Foreign
48	Stead, Christina	0.20351585999867647	2.364716264761157	1936.5	4	925607	White	Foreign
3	Azikiwe, Benjamin Nnamdi	0.20165537998495076	1.7903542097860303	1937.0	1	120283	Nonwhite	Foreign
22	Jabavu, Davidson Don Tengo	0.1943661971830979	0.9454909579477856	1920.0	1	60840	Nonwhite	Foreign
14	Duncan, Sara Jeannette	0.19408505174699708	3.8858865687046587	1894.75	4	353206	White	Foreign
41	Reitz, Deneys	0.18650088809946705	0.7461593391044399	1938.0	1	122263	White	Foreign
20	Haldar, Rakhal Das	0.18486171761281084	2.6525711656489195	1903.0	1	41967	Nonwhite	Foreign
19	Ghose, Sudhindra Nath	0.18461538461538488	0.42401380579940334	1928.0	1	74520	Nonwhite	Foreign
10	Casely Hayford, J. E. 	0.18200836820083635	1.2195431690053327	1911.0	1	63511	Nonwhite	Foreign
47	Sorabji, Cornelia	0.18153045815048197	2.8262280957402246	1923.6666666666667	3	252831	Nonwhite	Foreign
36	Pennell, Alice M. Sorabji	0.17850089081274767	3.0713346304342752	1914.5	2	194735	Nonwhite	Foreign
46	Smuts, Jan	0.16738816738816786	2.2513469896355147	1930.0	1	49878	White	Foreign
35	Padmore, George	0.16458333333333397	3.0828388679963603	1936.0	1	151377	Nonwhite	Foreign
34	Omoniyi, Bandele	0.16339869281045757	0.742939512328784	1908.0	1	33370	Nonwhite	Foreign
49	Tagore, Rabindranath	0.15720463828703568	8.27919364277224	1923.0	18	1004212	Nonwhite	Foreign
16	Frankel, Sally	0.14602960969044443	2.3194738659204823	1938.0	1	207624	White	Foreign
13	Dover, Cedric	0.14500827417748283	3.4892587547088776	1938.0	2	132788	Nonwhite	Foreign
