	author	spec_world_subcity	weight	pub_date_avg	books	wordcount	ethnicity	corpus
3049	Nicholson, John Gambril,	0.938775510204082	1.8696792192786347	1910.0	1	37366		Hathi
3306	Price, Alice.	0.8804664723032062	2.394282728947375	1887.0	1	51063		Hathi
1614	Goetel, Ferdynand,	0.8666666666666666	0.836009448128121	1931.0	1	63954		Hathi
3349	Pyle, Howard,	0.8529411764705883	0.13525813460343072	1915.0	1	89599		Hathi
934	Craik, Georgiana M.	0.8456944422253975	5.509696578370379	1886.25	4	199416		Hathi
3646	Setoun, Gabriel,	0.8412698412698413	0.2674230658578087	1898.0	1	83971		Hathi
3274	Polevoĭ, Petr Nikolaevich,	0.8378378378378378	0.157037419533287	1893.0	1	83982		Hathi
4224	Warner, Anna Bartlett,	0.8285714285714281	0.24456201740730887	1882.0	1	153034		Hathi
312	Baynton, Barbara.	0.8235294117647058	0.16749583440214488	1902.0	1	36177		Hathi
3273	Polevoĭ,	0.8108108108108107	0.17473754974818825	1901.0	1	75475		Hathi
3123	Orme, Joseph.	0.804878048780488	0.7284276894933395	1881.0	1	40125		Hathi
2939	Moravia, Alberto,	0.8000000000000003	0.15115095005901524	1938.0	1	224027		Hathi
3413	Rees, Rosemary,	0.7985074626865667	1.4007045816943655	1900.0	1	102298		Hathi
2726	Marsh, Ngaio,	0.7912087912087913	0.43877078032675537	1935.0	1	73925		Hathi
1260	Eivind, R.	0.7853658536585364	1.3789990677568633	1893.0	1	52988		Hathi
145	Archer, Agatha.	0.7799999999999999	0.18909737517183695	1897.0	1	94248		Hathi
2932	Moore, M.,	0.7751937984496123	0.8318869518789251	1885.0	1	55273		Hathi
70	Adams, Herbert,	0.7748344370860932	0.7307291902070389	1926.0	1	73656		Hathi
584	Bruce, Mary (Grant),	0.7682926829268295	0.3476893919028388	1913.0	1	84064		Hathi
866	Compton-Burnett, I. (Ivy),	0.7631278958207807	0.14296529208228143	1929.0	2	129909		Hathi
