	author	spec_world_subcity	weight	pub_date_avg	books	wordcount	ethnicity	corpus
49	Oliphant, Margaret	0.9156626506024096	1.8265554218226774	1894.0	1	49921		London
45	Maugham, W. Somerset	0.7105263157894742	0.29473979897194724	1897.0	1	47213		London
21	Ervine, John St. John	0.6911764705882341	0.6169161207722619	1915.0	1	80729		London
44	Marsh, Richard	0.6603174603174601	0.8595764927272498	1897.0	1	134197		London
28	Hamilton, Patrick	0.629629629629629	0.65255863845162	1935.0	1	242427		London
71	Ward, E. 	0.596491228070176	0.28306268145663616	1893.0	1	73741		London
35	Johnson, Pamela Hansford	0.5925925925925918	0.1858614514825781	1935.0	1	106395		London
58	Rook, Clarence	0.5864661654135322	0.7245418165605841	1899.0	1	67221		London
34	James, Henry	0.5617283950617301	0.7042951300155106	1886.0	1	84232		London
10	Besant, Walter	0.5562130177514776	0.836273420418873	1886.0	1	74004		London
5	Bennett, Arnold	0.5206826518051528	1.570557525431855	1910.5	2	179339		London
52	Pugh, Edwin	0.5199641113817928	2.2612038807025177	1908.6	5	383067		London
16	Burke, Thomas	0.5176612663683161	9.220266937373452	1925.142857142857	7	465118		London
56	Ridge, William Pett	0.5170856202436307	23.53027979958062	1906.1176470588234	17	1500268		London
33	Huxley, Aldous	0.5161290322580646	0.6185788641919691	1923.0	1	110112		London
8	Beresford, J. D.	0.49090909090909063	0.5796784520964327	1933.0	1	104235		London
27	Grossmith, George and Weedon	0.4854368932038834	0.7082614744713093	1894.0	1	53255		London
57	Rohmer, Sax	0.4769230769230773	1.0975559175046548	1916.0	1	108436		London
62	Silberrad, Una L	0.4501488087630978	1.0931174945982574	1906.3333333333333	3	428804		London
75	West, Rebecca	0.44827586206896647	0.5872592813625447	1929.0	1	90418		London
60	Sayer, Dorothy	0.4415880971262953	2.01802335550889	1932.0	3	456251		London
20	Dixon, Ella Hepworth	0.42545454545454475	1.3293113387601525	1894.0	1	75757		London
3	Baker, Henry Barton	0.40827478532395806	3.875134393061911	1899.0	1	121054		London
53	Raymond, Ernest	0.4043226201379688	3.011202289933427	1931.3333333333333	3	605180		London
15	Burke , Thomas	0.40298507462686717	1.0685739203037452	1938.0	1	114804		London
13	Bowen, Elizabeth	0.39697610852519766	1.9790375225970502	1935.0	2	261159		London
23	Fletcher, J. S.	0.3951048951048953	1.1145702709895031	1919.0	1	93967		London
2	Arlen, Michael	0.3909465020576149	1.1936135997317265	1923.0	1	74552		London
46	Morgan, William De	0.3882816950392033	4.935864797738198	1911.6666666666667	9	2457589		London
29	Hay, Ian	0.3880597014925373	0.4834734781530364	1919.0	1	50748		London
25	Galsworthy, John	0.38738689185456204	6.877463158610945	1918.7142857142858	7	830042		London
77	Woolf, Virginia	0.3807665918289182	1.7153723204366338	1922.0	2	278316		London
18	Dawson, William J	0.3762711864406779	1.1559425696055372	1895.0	1	93455		London
48	Murray, David Christie	0.3737864077669902	0.7227247914650936	1880.0	1	208757		London
68	Tomlinson, Henry	0.3714285714285712	1.6828352489478082	1921.0	1	53314		London
47	Morrison, Arthur	0.3710531351972094	3.5338377936225034	1897.75	4	299999		London
0	Adcock, Arthur St. John	0.36956521739130455	0.5198154548440324	1897.0	1	32406		London
26	Gissing, George	0.3621386580211215	10.719592956513667	1893.3333333333333	12	1226343		London
74	Waugh, Evelyn	0.36151891260996283	2.041375717499678	1929.0	2	155770		London
65	Snaith, John Collins	0.361274420881204	3.6800773695720186	1908.5	4	472102		London
51	Priestley, J. B.	0.3505452365013232	2.0118330105577296	1933.0	2	395376		London
43	MacFall, Haldane	0.35000000000000137	0.8351738718764006	1905.0	1	219235		London
9	Besant , Walter	0.3451776649746189	1.0292350262158916	1882.0	1	70092		London
7	Benson, E. F.	0.33810096761463215	2.814896370475253	1921.5	2	153863		London
22	Firbank, Ronald	0.33738317564549586	2.3094061347008754	1916.0	2	91216		London
39	Lewis, Wyndham	0.32631578947368567	0.5349315986907859	1930.0	1	260137		London
41	Lucas, E. V.	0.32539682539682224	1.731452118309781	1906.0	1	106595		London
61	Silberrad, Una	0.3236994219653177	0.4737263553606076	1907.0	1	133732		London
67	Thomas, Edward	0.31715210355987067	1.3805162441611	1913.0	1	81966		London
63	Sims, George R	0.30941704035874557	1.2244693116890615	1900.0	1	133384		London
69	Wallace, Edgar	0.30801570346364165	2.817659927298016	1914.5	2	189868		London
4	Bell, Adrian	0.3076923076923078	0.20347849798347567	1934.0	1	70188		London
37	Lawless, Emily	0.30372492836676207	0.7195972048657358	1882.0	1	177604		London
55	Riddell, Charlotte	0.30333333333333456	0.5711650867486388	1900.0	1	192343		London
12	Blumenfeld, Simon	0.29893238434163694	0.9451634140647949	1935.0	1	108872		London
78	Yorke, Curtis	0.2898550724637686	1.4536710070482999	1891.0	1	52146		London
54	Richardson, Dorothy	0.2875525208795877	5.615482726706715	1923.0	6	449965		London
19	Dickberry, F	0.28325123152709436	1.758384293475901	1904.0	1	84553		London
30	Hichens, Robert	0.27116434998301736	1.3738342452491163	1897.5	2	339162		London
31	Hill, Robert H.	0.27050610820244453	2.8985101873902486	1934.0	1	72393		London
73	Waugh, Alec	0.26106194690265555	0.735619780436175	1925.0	1	112505		London
32	Hume, Fergus W. 	0.2594258301161715	3.022798527183376	1897.0	3	332814		London
17	Corelli , Marie	0.25	0.4077368825070519	1897.0	1	14370		London
11	Blackmore, R. D.	0.24793388429752103	0.5910133141237391	1890.0	1	74973		London
