	author	volumes	weight	pub_date_avg	books	wordcount	ethnicity	corpus
1925	Henty, G. A.	72.0	1.0	1892.888888888889	72	9155799		Hathi
4421	Yonge, Charlotte M.	58.0	1.0	1889.8793103448277	58	9991987		Hathi
237	Balzac, Honoré de,	55.0	1.0	1900.2545454545455	55	7908039		Hathi
4098	Trollope, Anthony,	51.0	1.0	1906.0588235294117	51	10208993		Hathi
3243	Phillpotts, Eden,	50.0	1.0	1912.14	50	5608574		Hathi
1114	Dickens, Charles,	47.0	1.0	1907.6170212765958	47	10870681		Hathi
2171	James, Henry,	44.0	1.0	1899.9772727272727	44	4186843		Hathi
1080	Defoe, Daniel,	38.0	1.0	1900.7368421052631	38	6246343		Hathi
4380	Wood, Henry,	38.0	1.0	1894.7368421052631	38	7626876		Hathi
1451	France, Anatole,	36.0	1.0	1919.5	36	2188619		Hathi
3419	Reid, Mayne,	36.0	1.0	1897.8055555555557	36	3902346		Hathi
505	Braddon, M. E.	36.0	1.0	1891.9722222222222	36	5157882		Hathi
3547	Russell, William Clark,	34.0	1.0	1893.4117647058824	34	3965851		Hathi
382	Besant, Walter,	32.0	1.0	1889.46875	32	4857347		Hathi
4010	Thackeray, William Makepeace,	31.0	1.0	1898.6774193548388	31	6653541		Hathi
254	Baring-Gould, S.	31.0	1.0	1894.032258064516	31	3458051		Hathi
3108	Oliphant,	30.0	1.0	1887.7333333333333	30	3454069		Hathi
2398	Lang, Andrew,	30.0	1.0	1895.7333333333333	30	2558569		Hathi
321	Becke, Louis,	29.0	1.0	1904.0689655172414	29	2306641		Hathi
93	Ainsworth, William Harrison,	29.0	1.0	1894.7586206896551	29	4879044		Hathi
4317	Whyte-Melville, G. J.	28.0	1.0	1898.75	28	4278267		Hathi
951	Crockett, S. R.	27.0	1.0	1902.4814814814815	27	3048275		Hathi
1351	Fenn, George Manville,	27.0	1.0	1891.4814814814815	27	2607288		Hathi
3403	Reade, Charles,	26.0	1.0	1894.5384615384614	26	4271581		Hathi
2323	Kingsley, Charles,	25.0	1.0	1893.76	25	4033952		Hathi
1598	Gissing, George,	25.0	1.0	1904.96	25	2888219		Hathi
353	Bennett, Arnold,	25.0	1.0	1917.24	25	2380086		Hathi
4447	Zola, Émile,	25.0	1.0	1897.04	25	4335889		Hathi
1767	Haggard, H. Rider	25.0	1.0	1901.72	25	2965929		Hathi
4369	Winter, John Strange,	24.0	1.0	1894.875	24	2229625		Hathi
1369	Fielding, Henry,	24.0	1.0	1907.7916666666667	24	3269941		Hathi
2723	Marryat, Frederick,	24.0	1.0	1899.5833333333333	24	3770393		Hathi
3129	Ouida,	24.0	1.0	1892.0416666666667	24	3507609		Hathi
418	Black, William,	23.0	1.0	1889.3478260869565	23	1897624		Hathi
359	Benson, E. F.	21.0	1.0	1909.952380952381	21	2228945		Hathi
1859	Harte, Bret,	21.0	1.0	1895.6190476190477	21	2226886		Hathi
1135	Disraeli, Benjamin,	21.0	1.0	1903.8095238095239	21	3808027		Hathi
4125	Tynan, Katharine,	21.0	1.0	1909.4761904761904	21	1896646		Hathi
3066	Norris, W. E.	20.0	1.0	1891.95	20	1355624		Hathi
4113	Turgenev, Ivan Sergeevich,	20.0	1.0	1904.6	20	1704183		Hathi
471	Boothby, Guy Newell,	20.0	1.0	1900.7	20	1657915		Hathi
1427	Ford, Ford Madox,	20.0	1.0	1908.7	20	2056794		Hathi
346	Belloc, Hilaire,	20.0	1.0	1917.45	20	1377389		Hathi
3476	Roberts, Morley,	19.0	1.0	1902.2631578947369	19	1535113		Hathi
2029	Hope, Anthony,	19.0	1.0	1911.9473684210527	19	2087193		Hathi
406	Birmingham, George A.,	19.0	1.0	1916.3157894736842	19	1700672		Hathi
2424	Lawrence, D. H. (David Herbert),	19.0	1.0	1930.1052631578948	19	2201883		Hathi
1538	Gaskell, Elizabeth Cleghorn,	18.0	1.0	1905.611111111111	18	4359448		Hathi
217	Bain, F. W.	18.0	1.0	1907.7777777777778	18	566615		Hathi
2086	Hume, Fergus,	18.0	1.0	1904.8333333333333	18	1924064		Hathi
1156	Dostoyevsky, Fyodor,	18.0	1.0	1907.2777777777778	18	3141282		Hathi
2440	Le Queux, William,	18.0	1.0	1909.3333333333333	18	1825589		Hathi
54	A. L. O. E.,	17.0	1.0	1889.4117647058824	17	1029300		Hathi
138	Anstey, F.,	17.0	1.0	1898.4705882352941	17	1589959		Hathi
3298	Praed, Campbell,	17.0	1.0	1894.0	17	1777503		Hathi
1196	Duchess,	17.0	1.0	1888.0588235294117	17	2232179		Hathi
2956	Morris, William,	17.0	1.0	1901.5882352941176	17	1569568		Hathi
3879	Stevenson, Robert Louis,	17.0	1.0	1908.8235294117646	17	1442356		Hathi
3869	Sterne, Laurence,	17.0	1.0	1909.8823529411766	17	2363266		Hathi
4063	Tolstoy, Leo,	17.0	1.0	1902.5294117647059	17	1632929		Hathi
729	Cervantes Saavedra, Miguel de,	17.0	1.0	1899.764705882353	17	2692517		Hathi
4289	Weyman, Stanley John,	16.0	1.0	1909.6875	16	1949002		Hathi
4267	Wells, H. G.	16.0	1.0	1907.5	16	1293466		Hathi
3361	Quiller-Couch, Arthur,	16.0	1.0	1913.375	16	1565396		Hathi
3189	Payn, James,	16.0	1.0	1890.4375	16	1639068		Hathi
2328	Kipling, Rudyard,	16.0	1.0	1909.9375	16	1251401		Hathi
186	Austen, Jane,	16.0	1.0	1920.875	16	3011373		Hathi
1175	Doyle, Arthur Conan,	16.0	1.0	1900.75	16	1615798		Hathi
891	Coppard, A. E. (Alfred Edgar),	16.0	1.0	1931.375	16	1292104		Hathi
