htid,corpus,author,title,pub_date,genre,gender,white,origin_area,origin_nation,wordcount
uc1.$b249447,Foreign,"Karve, Dhondo Keshav",Looking Back,1936,Autobiography/Memoir,Male,Nonwhite,South Asia,India,63745
mdp.39015024876685,Foreign,"Stead, Christina",The Salzburg Tales,1934,Fiction-Stories,Female,White,Australasia,Australia,175389
uc1.32106014733312,Foreign,"Dover, Cedric",Half-Caste,1937,Fiction-Unspecified,Male,Nonwhite,South Asia,India,112251
mdp.39015004067941,Foreign,"Brookes, Edgar",The History of Native Policy in South Africa from 1830 to the Present Day,1927,History,Male,White,Britain,England,201293
mdp.39015003980987,Foreign,"Smuts, Jan",Africa and Some World Problems,1930,Nonfiction-Other,Male,White,Sub-Saharan Africa,South Africa,49878
uc1.$b685948,Foreign,"Azikiwe, Benjamin Nnamdi",Renascent Africa,1937,Nonfiction-Other,Male,Nonwhite,North Africa,Nigeria,120283
uc1.$b70427,Foreign,"Plomer, William",Ali the Lion,1936,Nonfiction-Other,Male,White,Sub-Saharan Africa,South Africa,97758
mdp.39015027902074,Foreign,"Dutt, Romesh Chunder",Three years in Europe,1890,Travelogue/Guidebook,Male,Nonwhite,South Asia,India,114413
uc1.$b58327,Foreign,"Schreiner, Olive",Thoughts on South Africa,1923,Nonfiction-Other,Female,White,Sub-Saharan Africa,South Africa,168166
mdp.39015066681241,Foreign,"Stead, Christina",House of All Nations,1938,Fiction-Novel,Female,White,Australasia,Australia,363576
emu.010000426913,Foreign,"Blyden, Edward Wilmott","Christianity, Islam and the Negro Race",1887,Nonfiction-Other,Male,Nonwhite,Caribbean,,201884
mdp.39015031895140,Foreign,"Gee, Bhagvat Sinh",Journal of a Visit to England,1886,Travelogue/Guidebook,Male,Nonwhite,South Asia,India,53334
pst.000005854240,Foreign,"Constantine , Learie",Cricket and I,1933,Autobiography/Memoir,Male,Nonwhite,Caribbean,Trinidad,77224
umn.31951002184702q,Foreign,"Rhys, Jean","Good Morning, Midnight",1939,Fiction-Novel,Female,White,Caribbean,Dominica,61168
mdp.39015022022845,Foreign,"Plomer, William",Sado,1931,Fiction-Novel,Male,White,Sub-Saharan Africa,South Africa,54380
pst.000029610099,Foreign,"Shiel, Matthew Phipps",Purple Cloud,1901,Fiction-Novel,Male,Nonwhite,Caribbean,Barbados Or Montserrat,130220
uc1.b5015162,Foreign,"Stead, Christina",Seven Poor Men of Sydney,1934,Fiction-Novel,Female,White,Australasia,Australia,149928
uc2.ark:/13960/t9q23vn3x,Foreign,"Scholes, Theophilus Edward Samuel","Glimpses of the Ages; or, The 'Superior' and 'Inferior' Races, So-Called, Discussed in the Light of Science and History",1905,Nonfiction-Other,Male,Nonwhite,Caribbean,Jamaica,196076
uc1.b4097214,Foreign,"Ghose, Sudhindra Nath",Rossetti and Contemporary Criticism,1928,Nonfiction-Other,Male,Nonwhite,South Asia,India,74520
loc.ark:/13960/t8df7841f,Foreign,"Tagore, Rabindranath",Thought Relics,1921,Nonfiction-Other,Male,Nonwhite,South Asia,India,16629
mdp.39015011590661,Foreign,"Tagore, Rabindranath",Stories from Tagore,1918,Fiction-Stories,Male,Nonwhite,South Asia,India,55207
uiug.30112042037769,Foreign,"Shiel, Matthew Phipps",The Dragon,1913,Fiction-Novel,Male,Nonwhite,Caribbean,Barbados Or Montserrat,147542
uc1.32106010776851,Foreign,"James, C.L.R. [Cyril Lionel Robert]",World Revolution,1937,History,Male,Nonwhite,Caribbean,Trinidad,186930
mdp.39015028774563,Foreign,"Nehru, S.K.",Our Cause: A Symposium by Indian Women,1936,Nonfiction-Other,Female,Nonwhite,South Asia,India,131388
mdp.39015011592964,Foreign,,Women in Modern India: Fifteen Papers by Indian writers,1929,Nonfiction-Other,Female,Nonwhite,South Asia,India,52033
wu.89006939045,Foreign,"Shiel, Matthew Phipps",Unto the Third Generation,1903,Fiction-Novel,Male,Nonwhite,Caribbean,Barbados Or Montserrat,163715
