htid,corpus,author,title,pub_date,genre,gender,white,origin_area,origin_nation,wordcount
mdp.39015008002464,Hathi,,Cuchulain of Muirthemne;,1915,Fiction,,,,,152773
inu.30000011770421,Hathi,"Parker, Gilbert,",The weavers,1907,Fiction,,,,,189654
uc2.ark:/13960/t0pr7wn4f,Hathi,"Williams, H. Noel",Five fair sisters,1907,Fiction,,,,,151541
mdp.39015015389896,Hathi,"Dostoyevsky, Fyodor,",The house of the dead;,1914,Fiction,,,,,144405
mdp.39015073316740,Hathi,"Carlyle, Thomas,",[Works],1885,Fiction,,,,,330175
uc1.b3322753,Hathi,"Alexander,",The wooing o't,1890,Fiction,,,,,257572
yale.39002022233812,Hathi,"Loliée, Frédéric,",Women of the second empire;,1907,Fiction,,,,,151239
uva.x030577037,Hathi,"James, G. P. R.",Henry of Guise,1903,Fiction,,,,,220222
uc1.b4098288,Hathi,"Rolleston, T. W.","The high deeds of Finn, and other bardic romances;",1910,Fiction,,,,,82761
uc1.$b322796,Hathi,"Bowen, Marjorie,",Dark Rosaleen / | $c: by Marjorie Bowen.,1932,Fiction,,,,,110567
njp.32101066381409,Hathi,"Ainsworth, William Harrison,",The novels of William Harrison Ainsworth,1901,Fiction,,,,,152381
wu.89000839811,Hathi,Sundowner.,Told by the taffrail,1901,Fiction,,,,,119617
uc2.ark:/13960/t9959f843,Hathi,"Masson, Frédéric,",Napoleon and the fair sex,1896,Fiction,,,,,98572
mdp.39015024518667,Hathi,"Snorri Sturluson,",Heimskringla,1915,Fiction,,,,,225684
njp.32101005842180,Hathi,"Zola, Émile,",Fat and thin,1888,Fiction,,,,,172044
uc2.ark:/13960/t8ff3n07w,Hathi,"Lamprey, Louise,",In the days of the guilds,1919,Fiction,,,,,75933
mdp.39015023991238,Hathi,"Huddleston, George,",The white fakir; | a tale of the mystical East.,1932,Fiction,,,,,67413
mdp.39015030947330,Hathi,,Isaiah of Jerusalem in the authorized English version,1883,Fiction,,,,,62100
mdp.39015030946274,Hathi,"Arnold, Edwin,",East and West;,1896,Fiction,,,,,88529
nyp.33433040405882,Hathi,"Balzac, Honoré de,",The country doctor =,1895,Fiction,,,,,118201
mdp.39015059413206,Hathi,"Lover, Samuel,",Handy Andy,1898,Fiction,,,,,225873
inu.30000121005718,Hathi,"Beauclerk, Helen.","The mountain and the tree, | $c: by Helen Beauclerk.",1935,Fiction,,,,,133152
uc2.ark:/13960/t42r3v17d,Hathi,"Merriman, Henry Seton,",Flotsam,1896,Fiction,,,,,106239
nyp.33433074878848,Hathi,"Lover, Samuel,",Handy Andy;,1908,Fiction,,,,,221834
inu.32000001874827,Hathi,"Mackenzie, Compton,",Carnival,1912,Fiction,,,,,153762
mdp.39015005885366,Hathi,"Hare, Augustus J. C.",Story of my life,1896,Fiction,,,,,139157
uc1.b3547063,Hathi,,A Century of humour / | $c: edited by P. G. Wodehouse.,1900,Fiction,,,,,377855
uc1.32106001959292,Hathi,"Trollope, Anthony,",The prime minister,1881,Fiction,,,,,339859
uc1.$b268702,Hathi,"Frith, Dean, pseud.","Booze-runner, | $c: by ""Dean Frith"".",1935,Fiction,,,,,100786
mdp.39015000604796,Hathi,"Gissing, George,",Eve's ransom.,1929,Fiction,,,,,67866
nyp.33433075768055,Hathi,"Willets, Gilson,","Anita, the Cuban spy",1898,Fiction,,,,,63507
njp.32101019604295,Hathi,"Fison, Lorimer,",Tales from old Fiji,1904,Fiction,,,,,74163
wu.89004714176,Hathi,"Drummond, Hamilton,",The chain of seven lives,1906,Fiction,,,,,94452
pst.000006063306,Hathi,"Yonge, Charlotte M.",The heir of Redclyffe,1886,Fiction,,,,,282963
wu.89099786055,Hathi,"Scott, Walter,","Guy Mannering; or, The astrologer",1921,Fiction,,,,,210449
njp.32101067647691,Hathi,"James, G. P. R.",Richelieu;,1909,Fiction,,,,,207230
uc1.32106005334237,Hathi,"Zola, Émile,",Work 11,1901,Fiction,,,,,275158
uc2.ark:/13960/t56d5tq5t,Hathi,"Crockett, S. R.",Silver sand,1914,Fiction,,,,,124321
njp.32101068574324,Hathi,"Wood, Henry,",Verner's pride,1900,Fiction,,,,,286953
mdp.39015012987494,Hathi,"Twain, Mark,",More tramps abroad,1898,Fiction,,,,,246061
uc1.$b289756,Hathi,"Sommerfield, John.",Volunteer in Spain | $c: [by] John Sommerfield.,1937,Fiction,,,,,46994
njp.32101065845941,Hathi,"Munro, Neil,",The shoes of fortune,1901,Fiction,,,,,121772
inu.30000041573456,Hathi,"Orczy, Emmuska Orczy,",Fire in stubble,1912,Fiction,,,,,165523
uc2.ark:/13960/t7vm45q72,Hathi,"Shiel, M. P.",The yellow danger,1898,Fiction,,,,,142901
mdp.39015005274835,Hathi,,The story of Burnt Njal,1906,Fiction,,,,,114329
uc1.b4358582,Hathi,"Hindus, Maurice Gerschon,",We shall live again,1939,Fiction,,,,,168571
uc1.$b597154,Hathi,"Goncourt, Edmond de,",Renée Mauperin ;,1914,Fiction,,,,,97435
nyp.33433074869813,Hathi,Rita.,Queer Lady Judas,1905,Fiction,,,,,126507
uva.x000279255,Hathi,"Stendhal,",The red and the black;,1922,Fiction,,,,,223663
nyp.33433074947387,Hathi,"Croker, B. M.",The Happy Valley,1904,Fiction,,,,,84408
uc2.ark:/13960/t9p26rn3h,Hathi,,Yule logs,1898,Fiction,,,,,138526
mdp.49015000706417,Hathi,"Edgeworth, Maria,","Castle Rackrent, and The absentee",1909,Fiction,,,,,170460
njp.32101032970855,Hathi,"Reynolds, George W. M.",The necromancer,1888,Fiction,,,,,284945
uc2.ark:/13960/t4kk9993n,Hathi,"Besant, Walter,","Uncle Jack, etc",1887,Fiction,,,,,207982
uc1.b4180718,Hathi,"Mahoff, Alexis.","Smell of smoke,",1936,Fiction,,,,,117655
uc1.$b686713,Hathi,"Peel, C. V. A.",Somaliland,1900,Fiction,,,,,105231
uc1.$b244965,Hathi,"Stern, G. B. (Gladys Bronwyn),",See-saw.,1931,Fiction,,,,,123205
uc1.b4507341,Hathi,"Cayley, George John,",The bridle roads of Spain,1908,Fiction,,,,,131092
inu.32000007781935,Hathi,"Niemojowski, Ludwik.",Siberian pictures,1883,Fiction,,,,,82823
njp.32101068178407,Hathi,"Henty, G. A.",Through Russian snows;,1895,Fiction,,,,,150440
uc2.ark:/13960/t5s759x6b,Hathi,"Ruffini, Giovanni,",Doctor Antonio,1891,Fiction,,,,,163978
mdp.39015031239620,Hathi,"Roberts, Morley,",The private life of Henry Maitland;,1912,Fiction,,,,,82664
uc2.ark:/13960/t7sn04s0c,Hathi,"Gibbs, Philip,",Back to life,1920,Fiction,,,,,104618
uc2.ark:/13960/t6k07959p,Hathi,"Osmond, Sophie.",An Australian wooing,1916,Fiction,,,,,126205
uc2.ark:/13960/t77s7kw62,Hathi,"Pearce, Charles E.",A star of the east,1912,Fiction,,,,,103746
mdp.39015073484209,Hathi,"Henty, G. A.",No surrender!,1900,Fiction,,,,,145428
mdp.39015030594983,Hathi,"Dostoevskai͡a, L. Ḟ.",The emigrant,1916,Fiction,,,,,65342
uc1.b4027911,Hathi,"Hume, Martin Andrew Sharp,",True stories of the past,1910,Fiction,,,,,47857
uc2.ark:/13960/t08w3gn6k,Hathi,"Yonge, Charlotte M.",The young step-mother,1882,Fiction,,,,,258356
uc2.ark:/13960/t1fj2cb69,Hathi,"Pemberton, Max Joseph.",Hindoo Khan,1922,Fiction,,,,,102555
uc1.$b63755,Hathi,"Sharpe, Elizabeth,","Indian tales, | $c: by Elizabeth Sharpe ...",1939,Fiction,,,,,65681
njp.32101064786997,Hathi,"Bailey, Henry Christopher,",The god of clay,1908,Fiction,,,,,133381
uc1.32106006952862,Hathi,"Dumas, Alexandre,",The Prussian terror,1916,Fiction,,,,,99432
mdp.39015031214011,Hathi,"Disraeli, Benjamin,",Alroy,1913,Fiction,,,,,177094
uc2.ark:/13960/t01z4399w,Hathi,"Von Hutten,",Sharrow,1912,Fiction,,,,,153194
uc2.ark:/13960/t14m98026,Hathi,"Hobbes, John Oliver,",The school for saints,1897,Fiction,,,,,154715
inu.32000002840678,Hathi,"Wood, Henry,",St. Martin's eve;,1922,Fiction,,,,,219292
mdp.49015000981952,Hathi,"Disraeli, Benjamin,",Coningsby,1911,Fiction,,,,,209641
wu.89040946683,Hathi,"Dutt, Shoshee Chunder,","The works of Shoshee Chunder Dutt. | Second series. Imaginative, descriptive, and metrical ...",1885,Fiction,,,,,102673
nyp.33433074881230,Hathi,"Marshall, Emma,","Dayspring: A story of the time of William Tyndale, reformer, scholar, and martyr",1882,Fiction,,,,,121851
uc1.b4379141,Hathi,"Lang, Andrew,",The true story book,1893,Fiction,,,,,142624
uc1.$b721923,Hathi,"Bloomfield, J. H.",A Cuban expedition,1896,Fiction,,,,,80565
umn.31951002096061t,Hathi,"Lincoln, Joseph Crosby,",The magnificent Mr. Bangs,1921,Fiction,,,,,167297
mdp.39015059449325,Hathi,"Dilnot, Frank,",The adventures of a newspaper man,1913,Fiction,,,,,78300
nyp.33433075727481,Hathi,"Fitzpatrick, Thomas,",The king of Claddagh,1899,Fiction,,,,,71447
uc2.ark:/13960/t6vx08n29,Hathi,"Nevill, Ralph,",The romantic past,1911,Fiction,,,,,89857
mdp.39015063934684,Hathi,"Martin, Stuart,","Babe Jardine, | $c: by Stuart Martin.",1927,Fiction,,,,,118659
nyp.33433074852983,Hathi,"Hawtrey, Valentina.",Suzanne,1906,Fiction,,,,,89419
njp.32101065596999,Hathi,"Westall, William,",As a man sows,1900,Fiction,,,,,131238
mdp.39015065802319,Hathi,"Ohnet, Georges,",The money-maker,1904,Fiction,,,,,147688
mdp.39015063963832,Hathi,"Quin, Shirland.","I sing of Honolulu, | $c: by Shirland Quin.",1935,Fiction,,,,,63515
njp.32101017595818,Hathi,"Martineau, Harriet,",Feats on the fjord,1910,Fiction,,,,,91851
uc2.ark:/13960/t0ks71674,Hathi,"Lever, Charles James,",Charles Lever's novels,1880,Fiction,,,,,348809
uc1.$b302150,Hathi,"Houghton, Claude,","A hair divides, | $c: by Claude Houghton [pseud.]",1930,Fiction,,,,,86298
uc2.ark:/13960/t8bg2kp72,Hathi,"Roberts, Morley,",The plunderers,1900,Fiction,,,,,114853
yale.39002060802320,Hathi,"Safroni-Middleton, A.",A vagabond's Odyssey;,1916,Fiction,,,,,134665
uc1.b3322593,Hathi,"Hall, Anna Maria Fielding,",Sketches of Irish character,1892,Fiction,,,,,264051
nyp.33433073355640,Hathi,"Dostoyevsky, Fyodor,",Buried alive;,1881,Fiction,,,,,121354
uc1.$b802486,Hathi,"Guenther, Johannes von,","Cagliostro, | a novel, | $c: by Johannes von Guenther, translated by Huntley Paterson.",1928,Fiction,,,,,182610
uc1.b3578859,Hathi,"Church, Alfred John,",The Hammer,1890,Fiction,,,,,103281
nyp.33433074904800,Hathi,"Montrésor, F. F.",The celestial surgeon,1905,Fiction,,,,,169323
uc1.$b197963,Hathi,"Wood, J. G.",Petland revisited,1890,Fiction,,,,,93727
uc2.ark:/13960/t79s1p041,Hathi,"Becke, Louis,",Tom Gerrard,1904,Fiction,,,,,74043
uc2.ark:/13960/t9183970b,Hathi,"Phillpotts, Eden,",Fancy free,1901,Fiction,,,,,95000
mdp.39015003681684,Hathi,"Galsworthy, John,",Tatterdemalion,1920,Fiction,,,,,92662
uva.x030577040,Hathi,"James, G. P. R.",Philip Augustus,1903,Fiction,,,,,202056
njp.32101062165970,Hathi,"Stead, F. Herbert",No more war!,1917,Fiction,,,,,226202
uc1.b3322402,Hathi,"Hodgetts, E. A. Brayley",A Russian wild flower,1897,Fiction,,,,,77396
uc2.ark:/13960/t7vm45046,Hathi,"Caffyn, Kathleen Mannington Hunt.",Mary Mirrilies,1916,Fiction,,,,,139387
uc2.ark:/13960/t8x922871,Hathi,"Twain, Mark,",A Yankee at the court of King Arthur,1889,Fiction,,,,,141418
uc2.ark:/13960/t3902bs13,Hathi,"Merriman, Henry Seton,",The vultures,1902,Fiction,,,,,114643
uc2.ark:/13960/t3hx1bm1n,Hathi,"Mackay, Charles,",Luck;,1881,Fiction,,,,,64597
njp.32101063605701,Hathi,"Vivanti, Annie,",The devourers,1910,Fiction,,,,,110247
mdp.39015063949120,Hathi,"Reid, Mayne,",The child wife,1905,Fiction,,,,,141779
inu.39000003364085,Hathi,"Scott, Hugh Stowell,",The grey lady,1909,Fiction,,,,,81721
mdp.39015006587490,Hathi,"Scott, Walter,",The talisman | $c: [by]Sir Walter Scott.,1926,Fiction,,,,,203954
njp.32101067179117,Hathi,"Trollope, Anthony,",The Land-leaguers,1884,Fiction,,,,,177151
inu.32000011083377,Hathi,"Sidney, Philip,",The Countess of Pembroke's Arcadia;,1907,Fiction,,,,,397309
mdp.39015063924248,Hathi,"Mallock, W. H.",A human document,1892,Fiction,,,,,56600
uc2.ark:/13960/t6348k90v,Hathi,"Safroni-Middleton, A.",Sailor and beachcomber,1915,Fiction,,,,,87296
uc1.$b745559,Hathi,"Clarke, Basil.",My round of the war;,1917,Fiction,,,,,110191
uiuo.ark:/13960/t15m6w096,Hathi,"Spender, Emily,",Until the day breaks,1886,Fiction,,,,,53558
nyp.33433074877790,Hathi,"Lee, Albert,",King Stork of the Netherlands;,1901,Fiction,,,,,125401
mdp.39015073480777,Hathi,"Henty, G. A.",Won by the sword,1900,Fiction,,,,,165190
wu.89054838123,Hathi,"D'Avigdor, Elim Henry,",A loose rein,1887,Fiction,,,,,142330
uc1.b3759919,Hathi,"O'Connor, T. P.,",I myself,1910,Fiction,,,,,135166
uc2.ark:/13960/t39z94t97,Hathi,"Compton, Herbert,",A fury in white velvet,1901,Fiction,,,,,52102
uc1.b3325184,Hathi,"Suffling, Ernest R.",Jethou,1898,Fiction,,,,,82676
mdp.39015030138427,Hathi,"Schumacher, Heinrich Vollrat,",Nelson's last love.,1929,Fiction,,,,,121851
uc2.ark:/13960/t21c1xc98,Hathi,"Moore, George,",In single strictness.,1922,Fiction,,,,,124021
uc1.b4678991,Hathi,"Hardy, Thomas,",The trumpet major,1880,Fiction,,,,,746181
uc2.ark:/13960/t2t43m867,Hathi,"Boldrewood, Rolf,",Babes in the bush,1900,Fiction,,,,,192663
uc2.ark:/13960/t1wd3vk49,Hathi,,The life of Florence L. Barclay,1921,Fiction,,,,,73553
uc2.ark:/13960/t17m06c1b,Hathi,"Hales, A. G.",Jair the Apostate,1902,Fiction,,,,,105013
uc2.ark:/13960/t3bz64m0c,Hathi,"Tschudi, Clara,",Napoleon's son,1912,Fiction,,,,,81539
mdp.39015066992135,Hathi,"Grant, Colquhoun,",Through Dante's land;,1912,Fiction,,,,,78491
uc1.$b808630,Hathi,"Kilpatrick, Florence A. (Florence Antoinette),","White man, black man, | $c: by Florence A. Kilpatrick.",1935,Fiction,,,,,69473
uc2.ark:/13960/t0ht2jf79,Hathi,"Sprigge, Samuel Squire,",Odd issues,1899,Fiction,,,,,74470
uc1.b4020199,Hathi,,Oriental tales,1884,Fiction,,,,,175286
mdp.39015022734522,Hathi,"Stoi͡anov, Zakhari,",Zachary Stoyanoff;,1913,Fiction,,,,,105392
inu.32000001872912,Hathi,"Church, Alfred John,",A young Macedonian in the army of Alexander the Great,1890,Fiction,,,,,90131
uc1.b3556232,Hathi,"Carleton, William",Traits and stories of the Irish peasantry,1893,Fiction,,,,,539133
uc1.l0076941780,Hathi,"Le Queux, William,",Behind the throne,1914,Fiction,,,,,128753
uc2.ark:/13960/t1zc7tw56,Hathi,"Gaunt, Mary,",A broken journey,1919,Fiction,,,,,109417
uc1.31158013145940,Hathi,"Loti, Pierre,",A spahi's love-story,1907,Fiction,,,,,65958
njp.32101068589165,Hathi,"Swift, Jonathan,",The works of Jonathan Swift;,1880,Fiction,,,,,1304084
mdp.39015020816602,Hathi,"Oppenheim, E. Phillips","Mr. Wingrave, millionaire",1906,Fiction,,,,,91887
osu.32435063997621,Hathi,"Weyman, Stanley John,","Laid up in lavender, | $c: by Stanley J. Weyman.",1927,Fiction,,,,,109426
mdp.39015020934843,Hathi,"Somerville, E. Œ.",In the vine country,1893,Fiction,,,,,48285
mdp.39015063524998,Hathi,"Castle, Agnes,",Panther's cub,1910,Fiction,,,,,118969
mdp.39015000559644,Hathi,"Marguerite,",The Heptameron;,1905,Fiction,,,,,205455
nnc1.1002262703,Hathi,"Burnaby, Fred,",Our radicals,1886,Fiction,,,,,39014
nyp.33433075861926,Hathi,"Wrixon, Henry John,",Jacob Shumate;,1903,Fiction,,,,,182908
mdp.39015031241543,Hathi,"Lucas, E. V.",Genevra's money,1922,Fiction,,,,,80234
uc1.31822038206421,Hathi,"Sadleir, Michael,",The anchor,1918,Fiction,,,,,76500
uc1.b3110304,Hathi,"Boccaccio, Giovanni,",The Decameron of Boccaccio / | $c: illustrated by Thomas Derrick.,1924,Fiction,,,,,272637
wu.89005052923,Hathi,"Tynan, Katharine,",John-a-dreams,1916,Fiction,,,,,88739
uc2.ark:/13960/t2s46nr4s,Hathi,"Allen, Grant,",The tents of Shem,1889,Fiction,,,,,49826
njp.32101050602349,Hathi,"Slater, Oscar,",Trial of Oscar Slater,1910,Fiction,,,,,203608
mdp.39015013159440,Hathi,"Thackeray, William Makepeace,","The history of Henry Esmond, esq., a colonel in the service of Her Majesty Queen Anne",1905,Fiction,,,,,229065
uc1.b3445497,Hathi,"Martineau, Harriet,",The playfellow;,1905,Fiction,,,,,278650
wu.89006961346,Hathi,"Richards, Grant,",Double life,1920,Fiction,,,,,95980
mdp.39015005707495,Hathi,"James, Henry,",The Europeans,1883,Fiction,,,,,72440
mdp.39015032116934,Hathi,"Gautier, Théophile,",The mummy's romance,1908,Fiction,,,,,44064
nyp.33433008439113,Hathi,"Hunter, Charles.",The adventures of a naval officer;,1905,Fiction,,,,,57693
