htid,corpus,author,title,pub_date,genre,gender,white,origin_area,origin_nation,wordcount
hvd.hnsy5x,London,"Snaith, John Collins",William Jordan Junior,1907,Fiction,,,,Britain - England,138983
uc2.ark:/13960/t2k64gm5g,London,"Richardson, Dorothy",Deadlock,1921,Fiction,,,,Britain - England,92137
uc2.ark:/13960/t6zw1cd9r,London,"Galsworthy, John",To Let,1921,Fiction,,,,Britain - England,110895
hvd.hw7jde,London,"Zangwill, Israel",Ghetto Tragedies,1899,Fiction,,,,Britain - England,129118
mdp.39015002712027,London,"Priestley, J. B.",They Walk the City,1936,Fiction,,,,Britain - England,174236
mdp.39015000604200,London,"Gissing, George",Workers in the Dawn,1880,Fiction,,,,Britain - England,181586
hvd.hn5pqd,London,"Ridge, William Pett",A Clever Wife,1895,Fiction,,,,Britain - England,86786
uc1.32106018920386,London,"Lewis, Wyndham",The Apes of God,1930,Fiction,,,,Britain - England,260137
nyp.33433074930953,London,"Buchan, John",A Lodge in the Wilderness,1916,Fiction-Novel,,,,,113275
nyp.33433112053925,London,"Snaith, John Collins",The Principal Girl,1912,Fiction,,,,Britain - England,97802
mdp.39015013962207,London,"Woolf, Virginia",Mrs. Dalloway,1925,Fiction,,,,Britain - England,77341
mdp.39015003681734,London,"Galsworthy, John",Swan Song,1928,Fiction,,,,Britain - England,130052
uc1.b2800528,London,"Keeling, Annie E",Andrew Golding: a Tale of the Great Plague,1886,Fiction,,,,Unknown,52419
uc1.$b244475,London,"Richardson, Dorothy",Dawn's Left Hand,1931,Fiction,,,,Britain - England,56555
uiug.30112051972997,London,"Ridge, William Pett",The Happy Recruit,1914,Fiction,,,,Britain - England,125307
uc2.ark:/13960/t6c24z72r,London,"Morgan, William De",The Old Madhouse,1919,Fiction,,,,Britain - England,289491
uc1.$b299587,London,"Arlen, Michael",These Charming People,1923,Fiction,,,,Armenian,74552
uc1.$b281774,London,"Hill, Robert H.",Tales of the Jesters,1934,Fiction-Novel,,,,,72393
nyp.33433081588182,London,"Ridge, William Pett",Name of Garland,1908,Fiction,,,,Britain - England,132479
uc2.ark:/13960/t1cj8g82c,London,"Benson, E. F.",The Freaks of Mayfair,1916,Fiction,,,,Britain - England,47751
nyp.33433112051069,London,"Ridge, William Pett",The Bustling Hours,1919,Fiction,,,,Britain - England,115142
uiug.30112052944540,London,"Murray, David Christie",A Life's Atonement,1880,Fiction,,,,Britain - England,208757
inu.39000003817223,London,"Priestley, J. B.",Angel Pavement,1930,Fiction,,,,Britain - England,221140
uiuo.ark:/13960/t19k7mj5d,London,"Walpole, Hugh",Fortitude,1913,Fiction,,,,Britain - England,203174
uc1.$b87339,London,"Galsworthy, John",The Silver Spoon,1925,Fiction,,,,Britain - England,107840
uc2.ark:/13960/t6b27s285,London,"Morgan, William De",Alice-For-Short,1907,Fiction,,,,Britain - England,295710
