htid,corpus,author,title,pub_date,genre,gender,white,origin_area,origin_nation,wordcount
mdp.39015012924240,Prominent,"Green, Henry",Blindness,1926,Fiction-Novel,Male,White,Britain,England,81975
mdp.39015008337951,Prominent,"Lehmann, Rosamond",Dusty Answer,1927,Fiction-Novel,Female,White,Britain,England,131548
uc1.32106002020342,Prominent,"Waugh, Evelyn",Black Mischief,1932,Fiction-Novel,Male,White,Britain,England,78419
uc1.b4973388,Prominent,"Lawrence, D. H.",The Boy in the Bush,1924,Fiction-Novel,Male,White,Britain,England,273939
pst.000029575206,Prominent,"Priestley, J. B.",The Good Companions,1929,Fiction-Novel,Male,White,Britain,England,318900
mdp.39015066195218,Prominent,"Shorthouse, Joseph Henry",John Inglesant,1881,Fiction-Novel,Male,White,Britain,England,213864
mdp.39015011040246,Prominent,"Wells, H. G.",Joan and Peter: The Story of an Education,1918,Fiction-Novel,Male,White,Britain,England,251722
uva.x000926858,Prominent,"James, Henry",The Golden Bowl,1904,Fiction-Novel,Male,White,Us,Us,131305
inu.30000102875915,Prominent,"Stevenson, Robert Louis",Kidnapped,1886,Fiction-Novel,Male,White,Britain,Scotland,112725
inu.39000000700414,Prominent,"Wells, H. G.",Christina Alberta's Father,1925,Fiction-Novel,Male,White,Britain,England,146085
mdp.39015002709973,Prominent,"Powys, John Cowper",Rodmoor: A Romance,1916,Fiction-Novel,Male,White,Britain,England,151376
coo.31924013536150,Prominent,"Bennett, Arnold",The Statue,1908,Fiction-Novel,Male,White,Britain,England,90901
pst.000013460631,Prominent,"Bowen, Elizabeth",To the North,1932,Fiction-Novel,Female,White,Ireland,Ireland - England,114402
pst.000000657853,Prominent,"Graves, Robert",Claudius the God,1934,Fiction-Novel,Male,White,Britain,England,218449
uc1.b4095607,Prominent,"Ford, Ford Madox",An English Girl: A Romance,1907,Fiction-Novel,Male,White,Britain,England,117156
mdp.39015009004717,Prominent,"Aldington, Richard",Soft Answers ,1932,Fiction-Stories,Male,White,Britain,England,107446
pst.000062475938,Prominent,"Conrad, Joseph",The Secret Agent: A Simple Tale,1907,Fiction-Novel,Male,White,Europe,Poland - England,130412
mdp.39015005775112,Prominent,"Waugh, Evelyn",Decline and Fall,1928,Fiction-Novel,Male,White,Britain,England,77369
mdp.39015003448845,Prominent,"Huxley, Aldous",Point Counter Point,1928,Fiction-Novel,Male,White,Britain,England,213835
mdp.39015049493359,Prominent,"James, Henry",The Ivory Tower,1917,Fiction-Novel,Male,White,Us,Us,102726
mdp.39015011506139,Prominent,"Lewis, Wyndham",Tarr,1918,Fiction-Novel,Male,White,Other,Canada - Britain,122982
mdp.39015060669036,Prominent,"Wells, H. G.",A Modern Utopia,1905,Fiction-Novel,Male,White,Britain,England,124403
coo.31924013636521,Prominent,"Lawrence, D. H.",Aaron's Rod,1922,Fiction-Novel,Male,White,Britain,England,138799
