	corpus	htid	author	title	pub_date	genre	gender	white	origin_area	origin_nation	pub_code	imprint
0	Foreign	mdp.39015011592964		Women in Modern India: Fifteen Papers by Indian writers	1929.0	Nonfiction-Other	Female	Nonwhite	South Asia	India		Bombay
12	Foreign	hvd.hne6n5	Ali, Mohomed Duse	In the Land of the Pharaohs: A Short History from the Fall of Ismail to the Assassination of Boutros Pasha	1911.0	History	Male	Nonwhite	North Africa	Egypt		
16	Foreign	uc1.b3796895	Ali, Ahmed	Twilight in Delhi	1940.0	Fiction-Novel	Male	Nonwhite	South Asia	India		
26	Foreign	mdp.39015010527060	Anand, Mulk Raj	The Hindu View of Art	1933.0	Nonfiction-Other	Male	Nonwhite	South Asia	India		
27	Foreign	mdp.39015036615006	Anand, Mulk Raj	The Golden Breath: Studies in Five Poets of the New India	1933.0	Nonfiction-Other	Male	Nonwhite	South Asia	India		
28	Foreign	mdp.39015059721319	Anand, Mulk Raj	Lament of the Death of a Master of Arts	1934.0	Fiction-Novel	Male	Nonwhite	South Asia	India		
29	Foreign	uc1.b3151819	Anand, Mulk Raj	The Lost Child and Other Stories	1934.0	Fiction-Stories	Male	Nonwhite	South Asia	India		
30	Foreign	mdp.39015030945961	Anand, Mulk Raj	Apology for Heroism	1934.0	Nonfiction-Other	Male	Nonwhite	South Asia	India		
31	Foreign	uc1.32106006456773	Anand, Mulk Raj	Untouchable	1935.0	Fiction-Novel	Male	Nonwhite	South Asia	India		
32	Foreign	mdp.39015068038887	Anand, Mulk Raj	The Coolie	1936.0	Fiction-Novel	Male	Nonwhite	South Asia	India		
33	Foreign	uc1.b3445384	Anand, Mulk Raj	Two Leaves and a Bud	1937.0	Fiction-Novel	Male	Nonwhite	South Asia	India		
34	Foreign	inu.30000094822297	Anand, Mulk Raj	The Village	1939.0	Fiction-Novel	Male	Nonwhite	South Asia	India		
35	Foreign	mdp.39015016466628	Anand, Mulk Raj	Across the Black Waters	1940.0	Fiction-Novel	Male	Nonwhite	South Asia	India		
48	Foreign	uc1.$b685948	Azikiwe, Benjamin Nnamdi	Renascent Africa	1937.0	Nonfiction-Other	Male	Nonwhite	North Africa	Nigeria		Accra
51	Foreign	umn.31951p00825694z	Baijnath, Lala	England and India: Being Impressions of Persons and Things, English and Indian, and Brief Notes of Visits to France, Switzerland, Italy, and Ceylon	1893.0	Travelogue/Guidebook	Male	Nonwhite	South Asia	India		
61	Foreign	pst.000015732255	Bliss, Eliot	Saraband	1931.0	Fiction-Novel	Female	White	Caribbean	Jamaica		
68	Foreign	emu.010000426913	Blyden, Edward Wilmott	Christianity, Islam and the Negro Race	1887.0	Nonfiction-Other	Male	Nonwhite	Caribbean			London
75	Foreign	mdp.39015032212451	Blyden, E. W.	African Life and Customs	1908.0	Nonfiction-Other	Male	Nonwhite	Caribbean	        		London
79	Foreign	mdp.39015004067941	Brookes, Edgar	The History of Native Policy in South Africa from 1830 to the Present Day	1927.0	History	Male	White	Britain	England		Pretoria
80	Foreign	uc1.b3425248	Brookes, Edgar	The Colour Problems of South Africa	1934.0	History	Male	White	Britain	England		Lovedale
93	Foreign	inu.39000000873807	Campbell, Roy	Wyndham Lewis	1932.0	Nonfiction-Other	Male	White	Sub-Saharan Africa	South Africa		
94	Foreign	uc1.$b74655	Campbell, Roy	Taurine Provence	1932.0	Nonfiction-Other	Male	White	Sub-Saharan Africa	South Africa		
98	Foreign	mdp.49015000716622	Campbell, Roy	Broken Record	1934.0	Autobiography/Memoir	Male	White	Sub-Saharan Africa	South Africa		
105	Foreign	uc1.$b784244	Casely Hayford, J. E. 	Ethiopia Unbound. Studies in Race Emancipation	1911.0	Fiction-Novel	Male	Nonwhite	Sub-Saharan Africa	West Africa		London
106	Foreign	aeu.ark:/13960/t52f8xj71	Charlton, Lewis	The Life of Lewis Charlton: A poor Old Slave, who, for Twenty-Eight Years, Suffered in American Bondage	1885.0	Autobiography/Memoir	Male	Nonwhite	North America	US		
115	Foreign	pst.000005854240	Constantine , Learie	Cricket and I	1933.0	Autobiography/Memoir	Male	Nonwhite	Caribbean	Trinidad		London
123	Foreign	mdp.39015022637857	de Kiewiet, Cornelis	Imperial Factor in South Africa	1937.0	Nonfiction-Other	Male	White	Sub-Saharan Africa	South Africa		London
129	Foreign	uc1.32106014733312	Dover, Cedric	Half-Caste	1937.0	Fiction-Unspecified	Male	Nonwhite	South Asia	India		London
130	Foreign	uc1.32106001072179	Dover, Cedric	Know this of Race	1939.0	Fiction-Unspecified	Male	Nonwhite	South Asia	India		London
