	htid	pub_date_htrc	title_htrc
0			
1			
2	uc1.32106005534992	1985	Hawksmoor/Ackroyd, Peter,
3			
4	mdp.39015034434293	1994	Dan Leno and the Limehouse Golem/Ackroyd, Peter,
5	wu.89004150314	1897	East end idylls/Adcock, Arthur St. John,
6			
7			
8	dul1.ark:/13960/t4pk17787	1765	The drummer;/Addison, Joseph,
9			
10			
11			
12			
13			
14			
15			
16			
17			
18			
19	mdp.39015014812724	1934	Women must work/Aldington, Richard,
20			
21			
22			
23			
24	mdp.49015002975721	1998	Jack, knave, and fool/Alexander, Bruce,
25			
26			
27	mdp.39015020681048	1973	The Rachel papers/Amis, Martin.
28	mdp.39015000674690	1981	Other people/Amis, Martin.
29	mdp.39015054076289	1984	Money/Amis, Martin.
30	mdp.49015001268607	1989	London fields/Amis, Martin.
31			
32	mdp.39015034902638	1995	The information/Amis, Martin.
33	mdp.39015011239707	1970	Efraim's book/Andersch, Alfred,
34			
35			
36			
37			
38			
39			
40			
41			
42			
43			
44			
45			
46			
47			
48	mdp.39015043788341	1984	First among equals/Archer, Jeffrey,
49			
50			
51			
52	uc1.$b299587	1923	These charming people/Arlen, Michael,
53			
54			
55	mdp.39015063516895	1937	People in cages/Ashton, Helen,
56			
57			
58			
59	uc1.b3477444	1980	Old soldiers/Bailey, Paul,
60			
61	mdp.39015028752544	1988	As time goes by/Bailey, Hilary,
62	mdp.39015019639668	1990	In search of love, money & revenge/Bailey, Hilary,
63			
64			
65	mdp.39015051321019	1975	Sweet William/Bainbridge, Beryl,
66	inu.30000120966423	1977	Injury time/Bainbridge, Beryl,
67	mdp.39015030848918	1979	Young Adolf/Bainbridge, Beryl,
68	pst.000012773596	1985	Watson's apology/Bainbridge, Beryl,
69	uc2.ark:/13960/t1zc7tb4j	1899	Stories of the streets of London/Baker, Henry Barton,
70			
71	pst.000068121068	1975	Crash/Ballard, J. G.,
72			
73	inu.32000009191661	1960	The L-shaped room/Banks, Lynne Reid,
74	mdp.39015017682173	1981	The writing on the wall/Banks, Lynne Reid,
75			
76			
77	loc.ark:/13960/t8bg36950	1922	The puppet show of memory/Baring, Maurice,
78			
79			
80	uc1.32106005224586	1980	Metroland/Barnes, Julian.
81			
82			
83			
84	mdp.39015051324146	1971	The in-between time/Baron, Alexander,
85			
86			
87			
88	uc1.b3796846	1936	The balcony/Bell, Adrian.
89			
90			
91			
92			
93			
94			
95	uc2.ark:/13960/t76t0p36c	1911	A man from the North/Bennett, Arnold,
96	mdp.39015017642870	1923	Riceyman steps;/Bennett, Arnold,
97			
98	uc2.ark:/13960/t1cj8g82c	1916	The freaks of Mayfair/Benson, E. F. (Edward Frederic),
99	inu.30000067523815	1999	Lucia in London/(Edward Frederic), Benson, E. F.
100			
101	mdp.39015010905241	1937	Old London/Benson, E. F. (Edward Frederic),
