	a_last	a_first	htid	pub_date	title	imprint	genre	genre_notes	gender_guess	gender_known	white	race	origin_area	origin_nation	origin_notes	religion	uni_degree	bib_source	notes	entered	ignore	notes_ignore	pub_date_htrc	title_htrc
0	Abbenetts	Michael		1979.0	Empire Road									Guyanan - Britain				DKM Snell						
1	Ackroyd	Peter		1982.0	The Great Fire of London								Britain	England				DKM Snell						
2	Ackroyd	Peter	uc1.32106005534992	1985.0	Hawksmoor									Britain - England				DKM Snell					1985	Hawksmoor/Ackroyd, Peter,
3	Ackroyd	Peter		1993.0	The House of Doctor Dee									Britain - England				DKM Snell						
4	Ackroyd	Peter	mdp.39015034434293	1994.0	Dan Leno and the Limehouse Golem									Britain - England				DKM Snell					1994	Dan Leno and the Limehouse Golem/Ackroyd, Peter,
5	Adcock	Arthur St. John	wu.89004150314	1897.0	East End Idylls									Britain - England				DKM Snell					1897	East end idylls/Adcock, Arthur St. John,
6	Adcock	Arthur St. John		1898.0	In the Image of God: a Story of Lower London									Britain - England				DKM Snell						
7	Adcock	Arthur St. John		1908.0	The World That Never Was: a London Fantasy									Britain - England				DKM Snell						
8	Addison	Joseph	dul1.ark:/13960/t4pk17787	1765.0	The Drummer	%	Drama											Literary London	Volume 12, issue 1-2, Event without an object, Sean Gaston	Patrick Evans	True	ee--date	1765	The drummer;/Addison, Joseph,
9	Adebayo	Diran		1996.0	Some Kind of Black									Britain - Nigerian				DKM Snell						
10	Adler	Ruth		1973.0	A Family of Shopkeepers									Unknown				DKM Snell						
11	Adler	Ruth		1982.0	Beginning Again									Unknown				DKM Snell						
12	Aiken	Joan		1992.0	Black Heats in Battersea									Britain - England				DKM Snell						
13	Ainworth	William Harrison		1839.0	Jack Sheppard									Britain - England				DKM Snell						
14	Ainworth	William Harrison		1840.0	The Tower of London: A Historical Romance									Britain - England				DKM Snell						
15	Ainworth	William Harrison		1841.0	Old St. Paul's: A Tale of the Plague and the Fire									Britain - England				DKM Snell						
16	Ainworth	William Harrison		1843.0	Windsor Castle: an Historical Romance									Britain - England				DKM Snell						
17	Ainworth	William Harrison		1862.0	The Lord Mayor of London; or, City Life in the Last Century									Britain - England				DKM Snell						
18	Ainworth	William Harrison		1902.0	Tower Hill									Britain - England				DKM Snell						
19	Aldington	Richard	mdp.39015014812724	1934.0	Women Must Work									Britain - England				DKM Snell					1934	Women must work/Aldington, Richard,
20	Alexander	Kate		1989.0	Great Possessions									Britain - England				DKM Snell						
21	Alexander	Bruce		1994.0	Blind Justice									American				DKM Snell	real name: Bruce Alexander Cook					
22	Alexander	Bruce		1996.0	Murder in Grub Street									American				DKM Snell						
23	Alexander	Bruce		1997.0	Person or Persons Unknown									American				DKM Snell						
24	Alexander	Bruce	mdp.49015002975721	1998.0	Jack, Knave and Fool									American				DKM Snell					1998	Jack, knave, and fool/Alexander, Bruce,
25	Alexander 	Susan		1964.0	Swift									Unknown				DKM Snell						
26	Allen	F. M.		1900.0	London's Peril: a Tale									Ireland				DKM Snell	also published as Edmund Downey					
27	Amis	Martin	mdp.39015020681048	1973.0	The Rachel Papers									Britain - Wales				DKM Snell					1973	The Rachel papers/Amis, Martin.
28	Amis	Martin	mdp.39015000674690	1981.0	Other People: A Mystery Story									Britain - Wales				DKM Snell					1981	Other people/Amis, Martin.
29	Amis	Martin	mdp.39015054076289	1984.0	Money									Britain - Wales				DKM Snell					1984	Money/Amis, Martin.
30	Amis	Martin	mdp.49015001268607	1989.0	London Fields									Britain - Wales				DKM Snell					1989	London fields/Amis, Martin.
31	Amis	Kingsley		1990.0	The Folks The Love on the Hill									Britain - England				DKM Snell						
32	Amis	Martin	mdp.39015034902638	1995.0	The Information									Britain - Wales				DKM Snell					1995	The information/Amis, Martin.
33	Andersch	Alfred	mdp.39015011239707	1971.0	Efraim's Book									German				DKM Snell					1970	Efraim's book/Andersch, Alfred,
34	Anderson	O.		1959.0	Random at Random									Unknown				DKM Snell						
35	Andrews	Valentine		1993.0	Sherlock Holmes and the Egyptian Hall Adventure									Britain - England				DKM Snell						
36	Angadi	Patricia		1987.0	The Highly Favoured Ladies									Britain - England				DKM Snell						
37	Anon.			1827.0	Whitehall									unknown				DKM Snell						
38	Anon.			1837.0	The Osier Bed at Camberwell									unknown				DKM Snell						
39	Anon.			1843.0	The London Tales									unknown				DKM Snell						
40	Anon.			1846.0	The Blind beggar of Bethnal Green									unknown				DKM Snell						
41	Anon.			1847.0	Helen Porter, or, a Wife's Tragedy and a Sister's Trials, a Romance									unknown				DKM Snell						
42	Anon.			1865.0	London Pilgrims									unknown				DKM Snell						
43	Anon.			1905.0	Tales from the Great City									unknown				DKM Snell						
44	Appleton	Emily		1845.0	Alice Mannering, or, the Nobleman's Son, a Tale of London									Britain - England				DKM Snell						
45	Applin	Arthur		1910.0	The Priest of Piccadilly									Britain - England				DKM Snell						
46	Applin	Arthur		1926.0	London Love									Britain - England				DKM Snell						
47	Applin	Arthur		1929.0	Piccadilly: a Romance									Britain - England				DKM Snell						
48	Archer	Jeffrey	mdp.39015043788341	1984.0	First among Equals									Britain - England				DKM Snell					1984	First among equals/Archer, Jeffrey,
49	Archer	Jeffrey		1986.0	A Matter of Honour									Britain - England				DKM Snell						
50	Archer	Jeffrey		1991.0	As the Crow Flies									Britain - England				DKM Snell						
51	Argers	Helen		1994.0	Noblesse Oblige									American				DKM Snell						
52	Arlen	Michael	uc1.$b299587	1923.0	These Charming People									Armenian				DKM Snell					1923	These charming people/Arlen, Michael,
53	Ashley	Bernard		1986.0	Running Scared									Britain - England				DKM Snell						
54	Ashley	Bernard		1995.0	Johnnie's Blitz									Britain - England				DKM Snell						
55	Ashton	Helen	mdp.39015063516895	1937.0	People in Cages									Britain - England				DKM Snell					1937	People in cages/Ashton, Helen,
56	Atherton	Victoria		1934.0	Limehouse Love									Unknown				DKM Snell						
57	Avery	Graham		1997.0	Sherlock Holmes and the Strange Events at the Bank of England									Unknown				DKM Snell						
58	Bailey	Temple		1937.0	I've Never Been to London: a Novel									American				DKM Snell						
59	Bailey	Paul	uc1.b3477444	1980.0	Old Soldiers									Britain - England				DKM Snell					1980	Old soldiers/Bailey, Paul,
60	Bailey	Hilary		1984.0	All the Days of My Life									Britain - England				DKM Snell						
