	htid	intl_frac	weight	author	title	pub_date_y	genre_y	gender	white	origin_area	wordcount
362	pst.000026486734	1.0	1.1572284031119602	Kipling, Rudyard	The Jungle Book	1894	Fiction-Stories	Male	White	South Asia	63391
565	umn.31951002117987b	1.0	0.3450271397752647	Myers, L. H.	The Near and the Far	1929	Fiction-Novel	Male	White	Britain	98714
150	mdp.39015005250439	1.0	0.1475431534076506	Milne, A. A.	House at Pooh Corner	1928	Fiction-Novel	Male	White	Britain	35514
514	uc1.b4095551	1.0	0.7974009503433401	Firbank, [Arthur Annesley] Ronald	Santal	1921	Fiction-Novel	Male	White	Britain	8918
182	mdp.39015011304147	1.0	0.5197210242787691	Conrad, Joseph	Tales of Unrest	1898	Fiction-Stories	Male	White	Europe	74175
166	mdp.39015008456900	0.99822695035461	2.177306989698928	Moore, George	The Brook Kerith	1916	Fiction-Novel	Male	White	Ireland	193901
440	uc1.32106005430829	0.9936131386861314	2.147952392770469	Graves, Robert	I, Claudius	1934	Fiction-Novel	Male	White	Britain	190975
127	mdp.39015002742446	0.9886363636363636	1.3982375496486967	Rolfe, Frederick	Don Tarquinio: A Kataleptic Phantasmatic Romance	1905	Fiction-Novel	Male	White	Britain	47111
415	uc1.$b787245	0.9880952380952381	0.35480690788425334	Myers, L. H.	Prince Jali	1931	Fiction-Novel	Male	White	Britain	88609
51	iau.31858004708438	0.9867549668874173	0.9765378166620213	Weyman, Stanley J.	A Gentleman of France	1893	Fiction-Novel	Male	White	Britain	173620
414	uc1.$b787244	0.9796747967479674	0.5076339880693829	Myers, L. H.	The Pool of Vishnu	1940	Fiction-Novel	Male	White	Britain	181374
216	mdp.39015030719598	0.975609756097561	0.9132094875334388	Wells, H. G.	The King Who Was a King	1929	Fiction-Novel	Male	White	Britain	50411
340	osu.32435017802885	0.971830985915493	0.422432082402395	Conrad, Joseph	The Arrow of Gold	1919	Fiction-Novel	Male	White	Europe	125812
254	mdp.39015049493359	0.9699248120300752	0.48457597615144543	James, Henry	The Ivory Tower	1917	Fiction-Novel	Male	White	Us	102726
452	uc1.32106014380601	0.9691119691119692	0.9330841540221507	Conrad, Joseph	The Rover	1923	Fiction-Novel	Male	White	Europe	103889
160	mdp.39015008044854	0.9681528662420382	1.0035120104232378	Compton-Burnett, Ivy	Daughters and Sons	1937	Fiction-Novel	Female	White	Britain	117111
330	nyp.33433074942974	0.967741935483871	0.24659977843281966	Conrad, Joseph	The Shadow Line	1917	Fiction-Novel	Male	White	Europe	47050
320	miun.afb2696.0001.001	0.967741935483871	0.3602371949597667	Wells, H. G.	The Brothers: A Story	1938	Fiction-Novel	Male	White	Britain	32208
163	mdp.39015008194212	0.9669966996699669	1.2151910244803739	Maugham, William Somerset	The Making of a Saint	1898	Fiction-Novel	Male	White	Britain	93323
499	uc1.b3862556	0.9659090909090909	0.31072165398494234	Compton-Burnett, Ivy	A House and Its Head	1935	Fiction-Novel	Female	White	Britain	105999
17	coo.31924013599190	0.962962962962963	0.6018041627412127	Conrad, Joseph	Under Western Eyes	1911	Fiction-Novel	Male	White	Britain	134335
72	inu.32000002820936	0.9596774193548387	0.6329797913401074	Conrad, Joseph	Almayer's Folly	1895	Fiction-Novel	Male	White	Europe	73320
199	mdp.39015016415567	0.9565217391304348	0.9566572671082788	Hartley, Leslie Poles	Simonetta Perkins	1926	Fiction-Novel	Male	White	Britain	26995
502	uc1.b3884572	0.9545454545454545	0.2042908821423247	Lewis, C. S.	The Pilgrim's Regress	1933	Fiction-Novel	Male	White	Britain	80611
350	pst.000006696801	0.9533333333333334	0.314210370570303	Myers, L. H.	The Orissers	1922	Fiction-Novel	Male	White	Britain	178674
257	mdp.39015053037431	0.9530271398747393	1.4172313598902972	Conrad, Joseph	Nostromo: A Tale of the Seabord	1904	Fiction-Novel	Male	White	Europe	252997
380	pst.000046763440	0.953020134228188	1.1768903434899174	Kipling, Rudyard	Just So Stories	1902	Fiction-Stories	Male	White	South Asia	47385
239	mdp.39015037058669	0.9529411764705883	1.6796029843051767	Pater, Walter	Imaginary Portraits	1887	Fiction-Stories	Male	White	Britain	37882
450	uc1.32106013771271	0.9518072289156626	0.7903727477027089	James, Henry	Washington Square	1881	Fiction-Novel	Male	White	Us	78608
433	uc1.32106001994984	0.947019867549669	1.0591261059451644	Lawrence, D. H.	The Plumed Serpent	1926	Fiction-Novel	Male	White	Britain	213442
472	uc1.b3575558	0.9444444444444444	0.8284489486169929	Yeats, William Butler	Adoration of the Magi	1897	Fiction-Stories	Male	White	Ireland	8132
523	uc1.b4538464	0.9416058394160585	0.3215984133603081	Conrad, Joseph	The Rescue	1920	Fiction-Novel	Male	White	Europe	159440
339	osu.32435015440100	0.9365079365079365	0.3352048387975615	Grahame, Kenneth	The Wind in the Willows	1908	Fiction-Stories	Male	White	Britain	70343
294	mdp.39015088638062	0.9336283185840708	0.6146040417354581	Jefferies, Richard	Bevis	1882	Fiction-Novel	Male	White	Britain	137627
300	mdp.39076005394908	0.9298519095869062	2.7400235117769656	Wells, H. G.	The Shape of Things to Come	1933	Fiction-Novel	Male	White	Britain	175252
506	uc1.b4083133	0.9285714285714286	0.7536096001897457	Wells, H. G.	All Aboard for Ararat	1940	Fiction-Novel	Male	White	Britain	27812
513	uc1.b4095427	0.9267782426778245	1.8219935264339282	Ford, Ford Madox	Vive Le Roy: A Novel	1936	Fiction-Novel	Male	White	Britain	98191
496	uc1.b3834539	0.924825174825175	1.7961825328249676	Ford, Ford Madox	The Rash Act: A Novel	1933	Fiction-Novel	Male	White	Britain	119189
531	uc1.c052623615	0.9206349206349207	0.7143190286292386	Hope, Anthony	The Prisoner of Zenda	1894	Fiction-Novel	Male	White	Britain	66019
71	inu.32000002529826	0.9204545454545456	0.9489508067520442	West, Rebecca	The Harsh Voice: Four Short Novels	1935	Fiction-Novel	Female	White	Ireland	104124
416	uc1.$b787246	0.919463087248322	0.9164658821079648	Myers, L. H.	Strange Glory	1936	Fiction-Novel	Male	White	Britain	60850
553	uc2.ark:/13960/t9h41nk9h	0.9189189189189189	2.003025695682843	Macaulay, Rose	Mystery at Geneva	1922	Fiction-Novel	Female	White	Britain	55309
265	mdp.39015055469319	0.9137931034482761	1.2296428862446902	Orwell, George	Burmese Days	1934	Fiction-Novel	Male	White	South Asia	123577
211	mdp.39015025040745	0.9136577708006276	2.009821482418629	Buchan, John	Greenmantle	1916	Fiction-Novel	Male	White	Britain	118624
549	uc2.ark:/13960/t8rb78c05	0.9132075471698116	1.1333237573816883	Buchan, John	Prester John	1910	Fiction-Novel	Male	White	Britain	87515
451	uc1.32106014299330	0.9130434782608697	0.6673052373675457	Joyce, James	Portrait of An Artist as a Young Man	1916	Fiction-Novel	Male	White	Ireland	103201
158	mdp.39015006194115	0.9115044247787613	0.8659334416978157	West, Rebecca	The Thinking Reed	1936	Fiction-Novel	Female	White	Ireland	146523
442	uc1.32106006269275	0.9112903225806452	0.7332924364205522	Beckett, Samuel	More Pricks than Kicks	1933	Fiction-Stories	Male	White	Ireland	63290
459	uc1.32106016479682	0.9095022624434388	1.1278872085590044	Pater, Walter	Marius the Epicurean	1885	Fiction-Novel	Male	White	Britain	146672
53	inu.30000001017874	0.905	0.9821166260162209	Christie, Agatha	Murder on the Orient Express	1934	Fiction-Novel	Female	White	Britain	76218
533	uc2.ark:/13960/t06w9dv3n	0.9010989010989013	1.137752791877231	Maugham, William Somerset	The Trembling of a Leaf: Little Stories of the South Sea Islands	1921	Fiction-Stories	Male	White	Britain	89806
