	htid	occurs_100k	weight	author	title	pub_date_y	genre_y	gender	white	origin_area	wordcount
168	mdp.39015008846571	875.5724140641936	1	Aldington, Richard	All Men Are  Enemies	1933	Fiction-Novel	Male	White	Britain	203524
406	uc1.$b284297	872.2182340272797	1	Galsworthy, John	Villa Rubein: A Novel	1900	Fiction-Novel	Male	White	Britain	55720
147	mdp.39015005095529	871.6661482483455	1	Macaulay, Rose	And No Man's Wit	1940	Fiction-Novel	Female	White	Britain	138241
271	mdp.39015060668566	834.8112919806117	1	Wells, H. G.	The War of the Worlds	1898	Fiction-Novel	Male	White	Britain	88523
346	pst.000000657853	774.5514971457804	1	Graves, Robert	Claudius the God	1934	Fiction-Novel	Male	White	Britain	218449
88	inu.39000001458897	753.2956685499041	1	Kipling, Rudyard	Puck of Pook's Hill	1906	Fiction-Stories	Male	White	South Asia	96111
85	inu.39000001020226	740.9585416054102	1	Bowen, Elizabeth	The House in Paris	1935	Fiction-Novel	Female	White	Ireland	102030
300	mdp.39076005394908	732.0886494876006	1	Wells, H. G.	The Shape of Things to Come	1933	Fiction-Novel	Male	White	Britain	175252
105	mdp.39015000632300	721.7154299699616	1	Lawrence, D. H.	St. Mawr	1925	Fiction-Stories	Male	White	Britain	71912
57	inu.30000038183293	719.5857993935255	1	Conan Doyle, Arthur	A Study in Scarlet	1887	Fiction-Novel	Male	White	Britain	102559
475	uc1.b3759957	698.5354279168677	1	Wells, H. G.	The Autocracy of Mr. Parham	1930	Fiction-Novel	Male	White	Britain	97776
352	pst.000008520463	696.2452027797976	1	Smith, Stevie	Over the Frontier	1938	Fiction-Novel	Female	White	Britain	77128
219	mdp.39015030719648	658.829608577701	1	Wells, H. G.	The Secret Places of the Heart	1922	Fiction-Novel	Male	White	Britain	77410
245	mdp.39015042140270	658.2010582010627	1	Kipling, Rudyard	Kim	1901	Fiction-Novel	Male	White	South Asia	141750
341	osu.32435017894775	639.9225969222517	1	Wells, H. G.	Mr. Britling Sees it Through	1916	Fiction-Novel	Male	White	Britain	163301
90	inu.39000001740583	639.740284541207	1	Wells, H. G.	The War in the Air, and Particularly how Mr. Bert Smallways Fared While it Lasted	1908	Fiction-Novel	Male	White	Britain	115203
164	mdp.39015008311048	629.9371504353327	1	Chesterton, G. K.	The Napoleon of Notting Hill	1904	Fiction-Novel	Male	White	Britain	69372
214	mdp.39015030719531	622.568093385214	1	Wells, H. G.	The Adventures of Tommy	1929	Fiction-Stories	Male	White	Britain	1285
44	hvd.hn1ndc	617.0556518015271	1	Allen, Grant	Miss Cayley's Adventures	1899	Fiction-Novel	Male	White	Other	102746
171	mdp.39015008995501	600.3030656253648	1	Conrad, Joseph	The Sisters	1928	Fiction-Novel	Male	White	Europe	17158
449	uc1.32106012128440	595.2987187582708	1	Hardy, Thomas	A Laodicean	1881	Fiction-Novel	Male	White	Britain	196372
548	uc2.ark:/13960/t88g8mj8t	594.7549172650695	1	Bennett, Arnold	The Regent: A Five Towns Story of Adventure in London	1913	Fiction-Novel	Male	White	Britain	128120
403	uc1.$b244748	585.4349744571344	1	Macaulay, Rose	I Would Be Private	1937	Fiction-Novel	Female	White	Britain	80453
86	inu.39000001215875	583.9524655254187	1	Kipling, Rudyard	The Second Jungle Book	1895	Fiction-Stories	Male	White	South Asia	107543
166	mdp.39015008456900	581.7401663735611	1	Moore, George	The Brook Kerith	1916	Fiction-Novel	Male	White	Ireland	193901
440	uc1.32106005430829	573.8971069511726	1	Graves, Robert	I, Claudius	1934	Fiction-Novel	Male	White	Britain	190975
358	pst.000021106644	571.1356154773221	1	Maugham, William Somerset	Ashenden: Or, The British Agent	1928	Fiction-Stories	Male	White	Britain	111182
375	pst.000033636887	562.2913371990874	1	Conan Doyle, Arthur	The Sign of Four	1889	Fiction-Novel	Male	White	Britain	79674
426	uc1.32106001949889	561.2103796938951	1	Rolfe, Frederick	Hadrian the Seventh: A Romance	1904	Fiction-Novel	Male	White	Britain	148251
518	uc1.b4095607	559.9371777800546	1	Ford, Ford Madox	An English Girl: A Romance	1907	Fiction-Novel	Male	White	Britain	117156
264	mdp.39015055182078	551.8507188742732	1	Ford, Ford Madox	No Enemy: A Tale of Reconstruction	1929	Fiction-Novel	Male	White	Britain	81725
573	wau.39352007039084	547.3959061873458	1	Macaulay, Rose	Told by an Idiot	1923	Fiction-Novel	Female	White	Britain	107235
337	nyp.33433115574562	542.263487151003	1	Ford, Ford Madox	Zeppelin Nights	1915	Fiction-Stories	Male	White	Britain	75609
495	uc1.b3834538	541.3174296153024	1	Ford, Ford Madox	Privy Seal: His Last Venture	1907	Fiction-Novel	Male	White	Britain	74448
240	mdp.39015037454173	539.8976176871852	1	Stevenson, Robert Louis	Weir of Hermiston	1896	Fiction-Novel	Male	White	Britain	85757
211	mdp.39015025040745	536.9908281629333	1	Buchan, John	Greenmantle	1916	Fiction-Novel	Male	White	Britain	118624
553	uc2.ark:/13960/t9h41nk9h	535.1751071254225	1	Macaulay, Rose	Mystery at Geneva	1922	Fiction-Novel	Female	White	Britain	55309
186	mdp.39015011819813	529.4312759931614	1	Lawrence, D. H.	The Escaped Cock	1929	Fiction-Novel	Male	White	Britain	78386
555	uiug.30112037331284	525.2746515864395	1	Allen, Grant	An African Millionaire	1897	Fiction-Novel	Male	White	Other	89477
282	mdp.39015066195218	503.59106722028815	1	Shorthouse, Joseph Henry	John Inglesant	1881	Fiction-Novel	Male	White	Britain	213864
302	mdp.49015000914540	503.3533456125311	1	Bennett, Arnold	Buried Alive: A Tale of These Days	1908	Fiction-Novel	Male	White	Britain	71123
252	mdp.39015047714954	497.26230783129296	1	Trollope, Anthony	Mr. Scarborough's Family	1883	Fiction-Novel	Male	White	Britain	254594
