	author	spec_gb_subcity	weight	pub_date_avg	books	wordcount	ethnicity
2	Anstey, F.	0.6666666666666667	0.3024288093109839	1882.0	1	118228	White
6	Beckett, Samuel	0.6270344386514023	1.2831659193154228	1935.5	2	133049	White
5	Barrie, J. M.	0.5764313579070699	2.3989190560827036	1897.0	2	100737	White
22	Disraeli, Benjamin	0.5158069883527451	2.9457266251805576	1880.0	1	202639	White
7	Beerbohm, Max	0.5146512645684	7.30789239130566	1910.2	5	233577	White
55	Mackenzie, Compton	0.5116279069767465	2.0270375151071027	1913.0	1	231761	White
60	Moore, George	0.4505108745347828	1.5636574396901375	1905.0	2	367171	White
39	Hornung, E. W.	0.44000000000000106	0.9326123903057949	1899.0	1	133122	White
96	Woolf, Virginia	0.43121646060394025	13.292401373160661	1924.4	10	1205859	White
45	Jefferies, Richard	0.4	0.10825017761539955	1882.0	1	137627	White
41	Huxley, Aldous	0.39741468436858	10.338467472895557	1926.6923076923076	13	1329804	White
34	Grossmith, George	0.39473684210526355	1.3544094198369199	1894.0	1	55732	White
18	Compton-Burnett, Ivy	0.3940699661106014	1.4132218505123009	1930.0	8	777546	White
54	Macaulay, Rose	0.38164671751024754	18.961562230556066	1923.1875	16	1579123	White
27	Galsworthy, John	0.37504697332862297	27.21882751185459	1916.5	28	3031741	White
57	Mason, A. E. W.	0.3690476190476193	1.178592608725802	1902.0	1	141575	White
76	Sayers, Dorothy	0.36019206509193447	1.9743758596267142	1933.5	2	274368	White
94	Wilde, Oscar	0.35304109091375374	2.9706938080974794	1890.0	3	233308	White
33	Greene, Graham	0.3500030175836092	7.981894306767616	1935.375	8	758881	White
92	Weyman, Stanley J.	0.33333333333333337	0.03432357376955326	1893.0	1	173620	White
43	Jacobs, W. W.	0.3249999999999999	1.1581271140138842	1901.0	1	102912	White
8	Bennett, Arnold	0.322353200464392	56.06611745628514	1912.825	40	4292264	White
65	Pater, Walter	0.32225394397795776	0.48061367974297853	1886.0	2	184554	White
