	htid	spec_gb_subcity	weight	author	title	pub_date_y	genre_y	gender	white	origin_area	wordcount
328	nyp.33433074942974	1.0	0.021109666588274307	Conrad, Joseph	The Shadow Line	1917	Fiction-Novel	Male	White	Europe	47050
225	mdp.39015030742442	1.0	0.24807626606081523	Douglas, Norman [George]	They Went	1920	Fiction-Novel	Male	White	Europe	68062
411	uc1.$b787244	1.0	0.027380159586773912	Myers, L. H.	The Pool of Vishnu	1940	Fiction-Novel	Male	White	Britain	181374
121	mdp.39015002711391	1.0	0.2962152737782005	Powys, Theodore Francis	Uriah on the Hill	1930	Fiction-Stories	Male	White	Britain	6706
412	uc1.$b787245	1.0	0.011208904433842004	Myers, L. H.	Prince Jali	1931	Fiction-Novel	Male	White	Britain	88609
500	uc1.b4064067	0.9583333333333333	0.9646325730030901	Beerbohm, Max	The Dreadful Dragon of Hay Hill	1928	Fiction-Stories	Male	White	Britain	24711
141	mdp.39015004165125	0.8048780487804879	0.4517595111172682	Compton-Burnett, Ivy	Dolores	1911	Fiction-Novel	Female	White	Britain	90140
506	uc1.b4089521	0.8	1.104466394445444	Beerbohm, Max	The Happy Hypocrite: A Fairy Tale for Tired Men	1897	Fiction-Stories	Male	White	Britain	13489
35	hvd.32044010105435	0.7567567567567568	1.3237073366543235	Barrie, J. M.	Peter Pan in Kensington Gardens	1906	Fiction-Novel	Male	White	Britain	27762
163	mdp.39015008311048	0.7556270096463023	4.4526358161254365	Chesterton, G. K.	The Napoleon of Notting Hill	1904	Fiction-Novel	Male	White	Britain	69372
309	mdp.49015000993924	0.7250000000000001	0.8349809272621326	Maugham, William Somerset	Liza of Lambeth	1897	Fiction-Novel	Male	White	Britain	47580
155	mdp.39015005948743	0.721739130434783	0.9742833008555976	Bennett, Arnold	Riceyman Steps: A Novel	1923	Fiction-Novel	Male	White	Britain	117234
68	inu.32000000357600	0.7189542483660127	1.8810326218117148	Greene, Graham	It's a Battlefield	1934	Fiction-Novel	Male	White	Britain	80786
268	mdp.39015058132898	0.6741573033707865	0.4210601009596699	James, Henry	The Bostonians	1886	Fiction-Novel	Male	White	Us	209936
48	hvd.hwjway	0.6716417910447764	0.5635686365753695	Galsworthy, John	Fraternity	1909	Fiction-Novel	Male	White	Britain	118078
221	mdp.39015030738069	0.6666666666666667	0.684898809078318	Firbank, [Arthur Annesley] Ronald	Vainglory	1915	Fiction-Novel	Male	White	Britain	65257
462	uc1.a0001378843	0.6666666666666667	0.3024288093109839	Anstey, F.	Vice Versa	1882	Fiction-Novel	Male	White	Britain	118228
361	pst.000028366003	0.6666666666666666	0.2313137438361649	Lawrence, D. H.	The Virgin and the Gipsy	1930	Fiction-Stories	Male	White	Britain	38644
78	inu.32000005560109	0.6666666666666666	0.09844915929826709	Compton-Burnett, Ivy	More Women Than Men	1933	Fiction-Novel	Female	White	Britain	90797
315	mdp.49015001344549	0.661538461538462	0.8435839726585983	Huxley, Aldous	Little Mexican, and Other Stories	1924	Fiction-Stories	Male	White	Britain	76529
