	htid	spec_nongb_subcountry	weight	author	title	pub_date_y	genre_y	gender	white	origin_area	wordcount
220	mdp.39015030727195	1.0	0.03495749072995714	Compton-Burnett, Ivy	A Family and a Fortune	1939	Fiction-Novel	Female	White	Britain	119223
215	mdp.39015030719606	1.0	0.201135537272976	Wells, H. G.	Love and Mr Lewisham	1900	Fiction-Novel	Male	White	Britain	79924
173	mdp.39015009283667	1.0	0.14812489754631963	Compton-Burnett, Ivy	Brothers and Sisters	1929	Fiction-Novel	Female	White	Britain	100488
35	hvd.32044010105435	1.0	0.04289251409735485	Barrie, J. M.	Peter Pan in Kensington Gardens	1906	Fiction-Novel	Male	White	Britain	27762
69	inu.32000001881533	1.0	0.13002642240344678	Powys, Theodore Francis	Make Thyself Many	1935	Fiction-Stories	Male	White	Britain	4579
426	uc1.32106001975207	1.0	0.06761728368737366	Compton-Burnett, Ivy	Men and Wives	1931	Fiction-Novel	Female	White	Britain	114469
189	mdp.39015013439065	1.0	0.09085546247646929	Compton-Burnett, Ivy	Pastors and Masters: A Study	1925	Fiction-Novel	Female	White	Britain	39319
86	inu.39000001387062	1.0	0.18519159819140987	Potter, Beatrix	Peter Rabbit	1902	Fiction-Novel	Female	White	Britain	3215
507	uc1.b4089521	1.0	0.3972510114662648	Beerbohm, Max	The Happy Hypocrite: A Fairy Tale for Tired Men	1897	Fiction-Stories	Male	White	Britain	13489
309	mdp.49015000993924	1.0	0.07508083079260816	Maugham, William Somerset	Liza of Lambeth	1897	Fiction-Novel	Male	White	Britain	47580
501	uc1.b4064067	1.0	0.21684751299698288	Beerbohm, Max	The Dreadful Dragon of Hay Hill	1928	Fiction-Stories	Male	White	Britain	24711
497	uc1.b3862556	0.988235294117647	0.4774406739285987	Compton-Burnett, Ivy	A House and Its Head	1935	Fiction-Novel	Female	White	Britain	105999
139	mdp.39015004165125	0.986111111111111	0.4755730103100464	Compton-Burnett, Ivy	Dolores	1911	Fiction-Novel	Female	White	Britain	90140
331	nyp.33433075767313	0.9818181818181819	0.6688829860938382	Wells, H. G.	The Wonderful Visit	1895	Fiction-Novel	Male	White	Britain	48957
529	uc1.c052623615	0.9741379310344828	1.0461436045608747	Hope, Anthony	The Prisoner of Zenda	1894	Fiction-Novel	Male	White	Britain	66019
122	mdp.39015002711649	0.9666666666666667	0.27771397368598477	Powys, Theodore Francis	Captain Patch: Twenty-One Stories	1935	Fiction-Stories	Male	White	Britain	64317
