	htid	spec_world_subcity	weight	author	title	pub_date_y	genre_y	gender	white	origin_area	wordcount
121	mdp.39015002711391	1.0	0.11162386668909081	Powys, Theodore Francis	Uriah on the Hill	1930	Fiction-Stories	Male	White	Britain	6706
503	uc1.b4064067	0.8181818181818181	0.4998206962600145	Beerbohm, Max	The Dreadful Dragon of Hay Hill	1928	Fiction-Stories	Male	White	Britain	24711
362	pst.000026486734	0.7959183673469385	1.1572284031119602	Kipling, Rudyard	The Jungle Book	1894	Fiction-Stories	Male	White	South Asia	63391
222	mdp.39015030727195	0.7857142857142856	0.04394997232177769	Compton-Burnett, Ivy	A Family and a Fortune	1939	Fiction-Novel	Female	White	Britain	119223
35	hvd.32044010105435	0.7692307692307692	0.5257804976346206	Barrie, J. M.	Peter Pan in Kensington Gardens	1906	Fiction-Novel	Male	White	Britain	27762
294	mdp.39015088638062	0.7610619469026545	0.6146040417354581	Jefferies, Richard	Bevis	1882	Fiction-Novel	Male	White	Britain	137627
509	uc1.b4089521	0.7500000000000003	0.6659200682188832	Beerbohm, Max	The Happy Hypocrite: A Fairy Tale for Tired Men	1897	Fiction-Stories	Male	White	Britain	13489
191	mdp.39015013439065	0.7499999999999999	0.11422716498645079	Compton-Burnett, Ivy	Pastors and Masters: A Study	1925	Fiction-Novel	Female	White	Britain	39319
217	mdp.39015030719606	0.6987179487179481	0.7305299121831919	Wells, H. G.	Love and Mr Lewisham	1900	Fiction-Novel	Male	White	Britain	79924
311	mdp.49015000993924	0.6956521739130435	0.3618461948379992	Maugham, William Somerset	Liza of Lambeth	1897	Fiction-Novel	Male	White	Britain	47580
156	mdp.39015005948743	0.6706586826347296	0.5331550213796605	Bennett, Arnold	Riceyman Steps: A Novel	1923	Fiction-Novel	Male	White	Britain	117234
92	inu.39000002612757	0.6660231660231652	1.0963325926657277	Hardy, Thomas	The Mayor of Casterbridge	1886	Fiction-Novel	Male	White	Britain	176839
507	uc1.b4083252	0.65625	0.7715515300053268	Wells, H. G.	The Camford Visitation	1937	Fiction-Novel	Male	White	Britain	15523
164	mdp.39015008311048	0.6475972540045796	2.3576961674555084	Chesterton, G. K.	The Napoleon of Notting Hill	1904	Fiction-Novel	Male	White	Britain	69372
78	inu.32000005560109	0.6428571428571429	0.05770947883872045	Compton-Burnett, Ivy	More Women Than Men	1933	Fiction-Novel	Female	White	Britain	90797
