text_string,occurs_100k,occurs
South Africa,47.92,1881
England,32.01,1070
London,26.68,1227
Africa,25.12,985
Europe,12.65,427
Cape,12.55,621
Japan,8.7,268
Paris,8.62,445
America,7.95,300
Johannesburg,5.54,138
India,5.19,218
France,5.11,244
Cape Colony,4.58,142
West Africa,4.26,279
Provence,4.07,37
East Africa,4.05,218
Kumasi,3.9,332
Pretoria,3.67,177
Canada,3.52,165
United States,3.41,128
New York,3.37,174
Orthodocia,3.37,111
Spain,3.37,87
Cape Town,3.37,170
Rhodesia,3.18,120
Zululand,3.12,193
Kenya,3.08,191
Jannina,3.0,123
Congo,2.76,163
Russia,2.73,158
Italy,2.69,65
Germany,2.66,150
Uganda,2.6,156
Australia,2.48,130
Tokyo,2.42,76
Zambesi,2.41,64
Great Britain,2.34,118
Nairobi,2.33,130
Egypt,2.24,82
Kaffir,2.18,95
Greece,2.15,92
Oxford,2.14,51
China,2.11,89
Durban,1.96,81
Roseau,1.92,64
Kimberley,1.92,61
Cairo,1.85,57
Chicago,1.84,85
Rome,1.8,78
New Zealand,1.76,72
Constantinople,1.67,71
Holland,1.65,69
Ireland,1.54,66
Cape Province,1.47,84
Mashonaland,1.4,33
Wilmington,1.4,46
Corfu,1.39,57
Madagascar,1.35,17
Scotland,1.29,48
Transkei,1.29,90
Calcutta,1.27,42
Griqualand West,1.27,75
Kamchatka,1.22,40
Vienna,1.22,56
Nigeria,1.19,94
Boston,1.14,28
Northern Rhodesia,1.12,62
Accra,1.12,69
Britain,1.09,55
Natal,1.09,67
Sudan,1.07,79
Witwatersrand,1.05,41
Berlin,1.04,73
Washington,1.03,66
Geneva,1.01,25
Tanganyika,0.98,49
Njoro,0.94,52
Atlantic,0.94,40
Berat,0.93,38
Montparnasse,0.91,24
Asia,0.9,40
Switzerland,0.89,36
Bombay,0.89,31
Amsterdam,0.87,94
Karoo,0.87,46
South-West Africa,0.86,56
Zanzibar,0.86,47
Southern Rhodesia,0.85,64
Central Africa,0.85,38
Brussels,0.82,81
Young Africa,0.82,32
Sierra Leone,0.8,52
Eastern Africa,0.79,18
Ionian Islands,0.79,33
Mombasa,0.78,41
Mediterranean,0.78,29
Beit,0.78,13
Cambridge,0.76,25
Morocco,0.75,24
Southern Africa,0.75,33
Delagoa Bay,0.74,41
Crau,0.74,6
Capetown,0.74,29
Riviera,0.73,15
Marseille,0.73,11
Portugal,0.72,34
Yokohama,0.72,24
Gambia,0.72,47
Volta,0.69,43
Singapore,0.69,37
States,0.68,14
Elmina,0.68,41
Fairfield,0.68,36
Salzburg,0.67,48
Kokofu,0.67,62
Table Bay,0.67,17
Sekondi,0.66,39
Nyasaland,0.66,56
Derby,0.66,33
Preveza,0.66,27
Rhone,0.65,8
Sahara,0.64,20
Angola,0.64,40
Epirus,0.63,26
Aden,0.63,27
South America,0.62,24
Laikipia,0.62,34
Baltimore,0.62,59
Athens,0.62,25
Bloemfontein,0.61,32
Montreal,0.61,22
Pietermaritzburg,0.61,27
Somaliland,0.61,35
Marseilles,0.6,14
Turkey,0.6,25
Mampon,0.59,55
Lobengula,0.59,14
Albania,0.58,24
S. Africa,0.56,41
Rhodes,0.56,12
Nsuta,0.56,52
Belgium,0.55,32
Agra,0.55,18
Empringham,0.54,23
Gold Coast,0.54,39
Cape Coast,0.54,33
West Indies,0.54,21
California,0.54,19
Tarkwa,0.53,31
Shepstone,0.53,34
