text_string,occurs_100k,occurs
England,63.59,2514
London,63.43,2415
India,46.73,1815
Europe,26.24,1129
Africa,23.49,936
Japan,16.75,545
South Africa,16.45,208
Egypt,16.18,901
America,13.31,524
France,12.27,626
Paris,11.24,475
Bombay,9.3,369
China,9.01,482
Russia,8.68,528
Italy,5.58,227
Rome,5.26,240
Calcutta,5.22,162
West Africa,5.01,224
Germany,4.99,264
Persia,4.88,248
United States,4.7,253
Britain,4.44,213
Cairo,3.59,164
Ethiopia,3.57,127
Bengal,3.42,97
Canada,3.38,156
Spain,3.38,166
Orthodocia,3.22,111
Sierra Leone,3.11,192
Great Britain,3.02,162
Johannesburg,2.93,37
New York,2.69,126
Mafeking,2.69,99
West Indies,2.62,146
Liberia,2.61,196
Ireland,2.6,113
Scotland,2.58,111
Asia,2.51,136
Cape Colony,2.45,27
Wales,2.31,117
Holland,2.09,101
Oxford,2.05,78
Australia,2.03,89
Venice,2.02,90
Cape,1.9,51
Greece,1.87,102
Austria,1.8,89
Madras,1.79,58
Chicago,1.77,76
Alexandria,1.76,82
Kimberley,1.71,57
Aden,1.63,67
Atlantic,1.6,80
Richmond,1.59,56
Florence,1.59,67
Edinburgh,1.59,60
Berlin,1.57,83
San Francisco,1.57,51
Cambridge,1.51,51
Boston,1.51,43
Turkey,1.48,87
Sweden,1.41,80
Madagascar,1.41,17
Norway,1.41,77
Naples,1.4,61
Kumasi,1.38,63
Mediterranean,1.36,56
Pekin,1.34,72
Vienna,1.33,67
Jamaica,1.3,73
St. Petersburg,1.29,67
Accra,1.29,69
Gold Coast,1.28,42
Manchester,1.28,64
Switzerland,1.24,37
Poona,1.23,30
Belgium,1.19,63
Barolong,1.17,43
Constantinople,1.15,65
Malta,1.1,47
Red Sea,1.09,36
Lagos,1.08,44
Surat,1.08,48
Thames,1.07,39
States,1.07,45
Gambia,1.06,56
Brighton,1.06,39
Sekondi,1.06,51
Yokohama,0.99,33
Greenwich,0.97,28
Cape Town,0.97,30
Prussia,0.97,54
Hyde Park,0.96,33
Brussels,0.95,43
Jerusalem,0.95,56
Bristol,0.95,43
New Zealand,0.93,22
Glasgow,0.92,40
Israel,0.91,44
Kaffir,0.9,30
Oxford Street,0.88,40
Amsterdam,0.85,46
Cape Coast,0.84,42
Suez Canal,0.83,41
Gibraltar,0.82,39
Gujarat,0.81,36
Kensington,0.8,26
Windsor,0.8,30
Kensington Gardens,0.78,23
California,0.77,22
Agra,0.77,27
Khartoum,0.76,42
Westminster,0.76,21
Kew,0.75,29
Pennsylvania,0.74,12
Babylon,0.73,27
Philadelphia,0.73,21
Kensal,0.73,17
Arabia,0.7,46
Rhine,0.69,32
Marseilles,0.69,25
Soudan,0.69,37
Hampstead,0.68,26
Mashonaland,0.68,10
Hirosaki,0.67,41
Geneva,0.66,23
Delhi,0.66,31
Kandy,0.65,21
Elmina,0.65,41
Alps,0.65,20
Salisbury,0.64,41
Colombo,0.64,24
Pompeii,0.64,28
Windsor Castle,0.64,20
Zambesi,0.63,13
Tarkwa,0.62,33
Central Africa,0.62,47
Volta,0.61,38
Buckingham Palace,0.6,28
Washington,0.6,23
Brixton,0.59,14
Poland,0.59,41
Brindisi,0.59,20
Northbrook,0.59,25
Ghana,0.59,17
Liverpool,0.59,24
Palestine,0.58,30
Dublin,0.58,17
Moscow,0.58,36
Peru,0.58,37
