text_string,occurs_100k,occurs
London,21.14,129173
England,13.63,91928
Paris,8.18,55782
France,5.61,40022
India,3.45,21371
Rome,3.25,22627
Ireland,2.89,20785
Europe,2.64,18188
America,2.49,15333
Italy,2.26,15335
Spain,2.15,14933
New York,2.04,11392
Scotland,1.94,13826
Florence,1.74,11480
Sydney,1.49,8597
Oxford,1.46,9419
Egypt,1.36,8805
Russia,1.35,8314
Australia,1.33,8172
Germany,1.23,8375
Edinburgh,1.14,6859
Venice,1.07,6822
Dublin,1.04,7944
China,1.02,6431
Cambridge,1.02,6749
Africa,0.96,5868
Naples,0.9,6519
Jerusalem,0.78,4791
Japan,0.77,4296
Athens,0.72,4024
Norway,0.72,4675
Wales,0.69,4955
Greece,0.68,4277
Boston,0.64,3583
Israel,0.62,3739
United States,0.6,3627
California,0.6,3331
Manchester,0.59,4042
Atlantic,0.57,3574
Cornwall,0.57,3517
Britain,0.57,3978
Canada,0.56,3824
Vienna,0.55,3503
Persia,0.55,3310
Brighton,0.55,3221
Berlin,0.53,3563
Glasgow,0.53,3232
Moscow,0.52,3440
Holland,0.52,3879
Melbourne,0.48,2911
South Africa,0.48,2592
Switzerland,0.48,3021
Calcutta,0.46,3015
Yorkshire,0.46,2907
New Zealand,0.45,2761
Chicago,0.44,2190
Bristol,0.44,2881
Washington,0.43,2736
Orlando,0.43,2295
Great Britain,0.41,2691
Norfolk,0.4,2668
Madrid,0.39,2726
Austria,0.38,2815
Iceland,0.38,2495
Windsor,0.38,2905
St. Petersburg,0.37,2360
Pacific,0.37,2135
Asia,0.37,2457
San Francisco,0.37,2184
Bombay,0.37,2473
Milan,0.37,3004
Cape,0.36,2344
Versailles,0.36,2625
Normandy,0.36,2384
Mexico,0.36,2491
Richmond,0.35,2617
Sicily,0.34,2435
Rhine,0.33,2236
Mediterranean,0.33,2087
Liverpool,0.33,2260
Poland,0.33,2348
Cairo,0.33,2357
Brussels,0.33,2358
Marseilles,0.33,2210
Delhi,0.32,2128
Denmark,0.32,2259
Portugal,0.32,2234
Birmingham,0.31,1803
Adelaide,0.31,2471
Exeter,0.3,2407
Thames,0.3,2048
Turkey,0.3,1881
Siberia,0.29,1769
Us,0.29,1318
Constantinople,0.28,1852
Alps,0.28,1710
Calais,0.28,1883
Fairfax,0.27,1452
Sweden,0.27,1861
Gloucester,0.27,1809
Tarascon,0.26,657
States,0.26,1679
Portsmouth,0.26,1757
Navarre,0.25,1964
Bengal,0.25,1740
Babylon,0.25,1523
Prussia,0.25,2047
Kensington,0.24,1639
Alexandria,0.24,1720
Seville,0.24,1681
South America,0.24,1494
Geneva,0.23,1579
York,0.23,1640
Halifax,0.23,1454
Bohemia,0.23,1368
Provence,0.23,1216
Devonshire,0.23,1473
West Indies,0.22,1556
Worcester,0.22,1627
Gibraltar,0.22,1448
Algiers,0.22,1263
Southampton,0.22,1477
Bordeaux,0.22,1500
Dresden,0.22,1499
Samoa,0.21,1065
Northumberland,0.21,1294
Hungary,0.21,1498
Devon,0.21,1421
Morocco,0.2,1270
Queensland,0.2,1129
Durham,0.2,1369
Plymouth,0.2,1249
Malta,0.2,1426
Lancashire,0.2,1362
Norwich,0.2,1221
Cumberland,0.19,1623
Madeira,0.19,1298
Suffolk,0.19,1331
Lisbon,0.19,1488
Arcadia,0.19,1257
Pretoria,0.19,1267
Madras,0.19,1224
Salisbury,0.19,1354
Damascus,0.19,1229
Brittany,0.18,1134
Carthage,0.18,1494
Toledo,0.18,1128
Pall Mall,0.18,1073
Galway,0.18,1364
Peru,0.18,1223
