text_string,occurs_100k,occurs
London,41.96,3103
England,14.59,1199
Paris,5.89,503
France,3.58,288
America,2.43,194
Europe,2.29,193
Italy,2.03,168
New York,1.95,128
Scotland,1.93,169
India,1.9,198
Germany,1.88,136
Oxford,1.85,173
Russia,1.73,132
Limehouse,1.55,82
Rome,1.46,122
Brighton,1.37,127
Greenwich,1.28,98
Spain,1.24,92
Florence,1.19,89
Riseholme,1.17,93
Egypt,1.16,88
Oxford Street,1.13,97
Cambridge,1.11,74
Georgia,1.02,49
Hampstead,1.0,94
China,0.99,72
Soho,0.94,83
Green Street,0.92,83
Scotland Yard,0.91,83
Wimpole Street,0.91,58
Ireland,0.87,62
Canada,0.84,62
Britain,0.82,65
West End,0.82,66
Park Lane,0.82,65
Chinatown,0.81,45
Kensington,0.81,60
Highgate,0.79,70
Hyde Park,0.79,76
Wales,0.78,45
Australia,0.78,93
Tarleton,0.77,42
Gloucester Place,0.74,59
Bloomsbury,0.73,45
Berlin,0.73,50
Clerkenwell,0.72,59
Newmarket,0.69,22
Sussex,0.66,48
California,0.66,30
South Africa,0.64,55
London Bridge,0.61,49
Covent Garden,0.61,49
Pennyfields,0.6,30
St. Pancras,0.6,35
Croydon,0.57,33
Brompton Square,0.57,45
Fleur,0.57,53
Richmond,0.57,49
Switzerland,0.55,48
Shaftesbury Avenue,0.55,42
Portia,0.54,59
Norfolk,0.53,38
Manchester,0.53,47
Creek,0.53,50
Venice,0.52,48
Shoreham,0.52,32
Chelsea,0.52,52
Chesterﬁeld,0.5,19
Islington,0.5,58
Birmingham,0.5,36
Great Britain,0.5,33
Bruges,0.5,27
Somerset,0.5,43
Africa,0.49,43
Dearborn,0.49,33
Orly,0.49,31
Launceston,0.48,41
Thames,0.48,39
Euston Road,0.48,42
Quong,0.46,21
Finland,0.46,59
West India Dock Road,0.46,26
Kent,0.45,17
Brook Street,0.45,25
Aldgate,0.45,39
Camden Town,0.44,40
South Square,0.44,40
Mediterranean,0.43,32
Charing Cross Road,0.43,34
Gallipoli,0.43,45
Norway,0.43,36
Green Park,0.43,35
Greece,0.42,28
Amherst,0.42,33
Madeira,0.41,25
Holborn,0.41,38
Suvla,0.4,42
Bayswater,0.4,27
Moscow,0.4,29
Edinburgh,0.39,28
Harley Street,0.38,26
Bourton,0.38,22
Oberland,0.38,16
Trafalgar Square,0.38,36
Camberwell,0.38,29
London Street,0.38,30
Goodwood,0.37,34
Haymarket,0.37,36
Waikiki,0.37,41
Glasgow,0.36,28
Helles,0.36,38
Tottenham Court Road,0.36,34
Surrey,0.35,34
Mapledurham,0.34,31
Bryanston Square,0.34,29
Penton Street,0.34,35
Old Kent Road,0.34,21
Russell Square,0.33,28
Bermondsey,0.33,28
East India Dock Road,0.33,21
Turkey,0.33,29
Leicester,0.33,19
Breton,0.33,23
Madrid,0.32,16
East End,0.32,24
North London,0.32,24
Shrewsbury,0.32,42
Shoreditch,0.31,18
Berkeley Square,0.31,19
Baker Street,0.31,31
Chislehurst,0.31,24
Marseilles,0.31,21
Bohemia,0.31,20
Yorkshire,0.3,25
Shanghai,0.3,18
United States,0.3,24
Hoxton,0.3,23
Rangoon,0.3,32
Grosvenor Square,0.29,17
Knightsbridge,0.29,25
Essex,0.28,32
Buckingham Palace,0.28,22
Fleet Street,0.28,21
Edgware Road,0.28,20
Southampton,0.28,26
Sicily,0.27,22
South America,0.27,24
Holland,0.27,16
Hyde Park Corner,0.27,18
Sydney,0.27,26
