text_string,occurs_100k,occurs
London,40.81,2621
Richmond,0.98,58
Hyde Park,0.61,35
Thames,0.59,39
Greenwich,0.5,26
Oxford Street,0.48,38
Kew,0.48,32
Kensington Gardens,0.46,23
Westminster,0.45,21
London Bridge,0.44,34
Hampstead,0.39,25
Brixton,0.38,16
Buckingham Palace,0.37,29
East London,0.3,19
Kensington,0.27,16
Kensal Rise,0.23,9
Chelsea,0.21,13
Holborn,0.19,14
Kingston,0.18,8
Kensal,0.18,7
South Kensington Museum,0.18,10
Mansion House,0.18,12
Zoological Gardens,0.15,10
Thring,0.15,20
Trafalgar Square,0.15,11
Wardour Street,0.15,18
Islington,0.14,7
Bloomsbury,0.14,11
Kew Gardens,0.14,8
Paddington,0.14,7
Downing Street,0.14,12
St. Pancras,0.14,10
Covent Garden,0.14,11
Richmond Park,0.14,6
Victoria Street,0.13,8
East End Of London,0.13,7
Albert Hall,0.13,8
Regent'S Park,0.13,5
South Kensington,0.13,9
Green Park,0.13,7
Westminster Bridge,0.13,9
National Gallery,0.13,6
Pall Mall,0.13,13
Haymarket,0.12,7
Hanover Square,0.12,13
Waterloo Station,0.12,5
Chatham,0.12,10
Euston Road,0.12,10
Hammersmith,0.11,7
Guilford Street,0.11,7
Hyde Park Corner,0.11,6
St. James'S Park,0.11,6
Cavendish Square,0.11,11
Notting Hill,0.11,4
Great Russell Street,0.1,6
Scotland Yard,0.1,8
Tottenham Court Road,0.09,6
Harley Street,0.09,9
Knightsbridge,0.09,5
Queen'S Hall,0.09,7
Soho,0.09,8
Fleet Street,0.09,7
Clapham,0.09,4
West End,0.09,6
East End,0.08,6
Curzon Street,0.08,6
Shoreditch,0.08,6
New Cross,0.08,3
Blackfriars Bridge,0.08,5
Central Hall,0.08,5
Leicester Square,0.08,6
Camden Town,0.08,6
West End Of London,0.07,3
Eastcheap,0.07,6
Gower Street,0.07,3
British Museum,0.07,3
Waterloo Bridge,0.07,4
Edgware Road,0.07,6
Kilburn,0.07,6
Albert Memorial,0.07,4
Middlesex,0.06,4
Paddington Station,0.06,3
Ludgate Hill,0.06,3
Park Lane,0.06,4
Piccadilly,0.06,5
Wigmore Street,0.06,3
Hounslow,0.06,5
Russell Square,0.06,5
Finchley,0.06,3
Southwark,0.06,5
Leadenhall Street,0.06,4
Bedford Square,0.06,3
Liverpool Street,0.05,4
Brixton Road,0.05,2
Tate Gallery,0.05,2
Guy'S Hospital,0.05,2
Bayswater,0.05,4
Thames Tunnel,0.05,3
Dorset Street,0.05,6
Trafalgar,0.05,5
Twickenham,0.05,3
City,0.05,2
St. Thomas'S,0.05,1
Gloucester Terrace,0.05,2
Bond Street,0.05,3
Dulwich,0.05,3
Bruton Street,0.05,4
Norwood Cemetery,0.05,2
Euston Square,0.05,2
London Town,0.05,4
Whitechapel Road,0.05,5
Nottingham Place,0.05,2
Middle Temple,0.05,4
Mortimer Street,0.05,2
Croydon,0.05,7
West London Hospital,0.05,2
West Dulwich,0.05,2
Frith Street,0.05,5
Putney,0.04,2
Portland Gallery,0.04,2
Berwick Street,0.04,5
Berkeley Square,0.04,4
South Ken,0.04,2
Marylebone,0.04,3
Cheyne Gardens,0.04,5
London   Bridge,0.04,1
Cromwell Road,0.04,1
Kensal Green,0.04,4
Brixton Station,0.04,2
Greenwich Park,0.04,2
Fulham,0.04,2
Battersea,0.04,2
Euston Station,0.04,2
Albemarle Street,0.04,1
Grosvenor Square,0.04,3
Waterloo Place,0.04,3
Aldgate,0.04,4
Plumstead,0.03,1
Wapping,0.03,2
Paternoster Square,0.03,1
Bow Road,0.03,2
Nunhead,0.03,2
St. Thomas'S Hospital,0.03,1
Westbourne Grove,0.03,2
Victoria Station,0.03,2
Bucking- Ham Palace,0.03,1
Westminster   Bridge,0.03,1
Westminster Abbey,0.03,3
Markham Square,0.03,1
Manchester Square,0.03,1
