text_string,occurs_100k,occurs
London,66.45,2415
Richmond,1.64,55
Thames,1.12,39
Hyde Park,1.0,33
Oxford Street,0.93,40
Greenwich,0.88,25
Kensington Gardens,0.81,23
Westminster,0.8,21
Kew,0.78,29
Hampstead,0.71,26
Buckingham Palace,0.63,28
Brixton,0.62,14
Kensington,0.53,20
London Bridge,0.47,19
Kensal Rise,0.4,9
South Kensington Museum,0.35,11
Chatham,0.34,11
Holborn,0.33,14
Chelsea,0.32,11
Mansion House,0.31,11
Kensal,0.31,7
Park Lane,0.29,7
Thring,0.27,20
Hammersmith,0.27,9
Zoological Gardens,0.27,9
Wardour Street,0.26,18
Pall Mall,0.26,14
Covent Garden,0.25,11
Richmond Park,0.25,6
Cavendish Square,0.25,13
St. Pancras,0.25,10
Paddington,0.25,7
National Gallery,0.25,7
Islington,0.25,7
Trafalgar Square,0.25,10
Green Park,0.24,7
Euston Road,0.24,11
Dulwich,0.24,9
Hanover Square,0.23,14
Bloomsbury,0.23,11
Westminster Bridge,0.23,9
Curzon Street,0.22,9
Regent'S Park,0.22,5
St. James'S Park,0.22,7
Kew Gardens,0.22,7
Albert Hall,0.21,7
Haymarket,0.21,7
East End Of London,0.21,7
Waterloo Station,0.2,5
Guilford Street,0.19,7
Notting Hill,0.19,4
South Kensington,0.19,7
West End Of London,0.19,4
Kingston,0.18,6
Scotland Yard,0.17,8
Tottenham Court Road,0.16,6
Hyde Park Corner,0.16,5
Bond Street,0.16,6
East End,0.15,6
Clapham,0.15,4
Edgware Road,0.15,7
East London,0.15,6
Downing Street,0.15,6
Piccadilly,0.15,6
Camden Town,0.15,6
Fleet Street,0.15,7
West End,0.14,5
New Cross,0.14,3
Shoreditch,0.14,6
Soho,0.13,7
Marylebone,0.13,5
Waterloo Bridge,0.13,4
Grosvenor Square,0.13,5
Blackfriars Bridge,0.13,5
Victoria Street,0.12,4
Kilburn,0.12,6
Finchley,0.11,3
Leicester Square,0.11,4
Queen'S Hall,0.11,4
Paddington Station,0.11,3
Rutland Gate,0.1,3
Leadenhall Street,0.1,4
Dorset Street,0.1,6
Westminster Abbey,0.1,5
Knightsbridge,0.1,4
Ludgate Hill,0.1,3
Nottingham Place,0.09,2
Harley Street,0.09,5
Putney,0.09,3
Gloucester Terrace,0.09,2
Mortimer Street,0.09,2
Norwood Cemetery,0.09,2
London Town,0.09,4
Middle Temple,0.09,4
West London Hospital,0.09,2
Whitechapel Road,0.09,5
Cockspur Street,0.09,4
Waterloo Place,0.09,4
Brixton Road,0.09,2
Tate Gallery,0.09,2
West Dulwich,0.09,2
Russell Square,0.08,3
Thames Tunnel,0.08,3
Central Hall,0.08,1
Croydon,0.08,6
British Museum,0.08,3
St. Thomas'S,0.08,1
Frith Street,0.08,5
Wigmore Street,0.08,2
Belgrave Square,0.08,4
Bedford Square,0.08,2
Euston Square,0.08,2
Brixton Station,0.07,2
Regent Street,0.07,2
Aldgate,0.07,4
Hertford Street,0.07,3
Berkeley Square,0.07,4
Euston Station,0.07,2
Albert Memorial,0.07,2
Bayswater,0.07,3
Westbourne Grove,0.07,3
Twickenham,0.07,2
Berwick Street,0.07,5
Greenwich Park,0.07,2
Trafalgar,0.07,4
Upper Holloway,0.06,1
Kensal Green,0.06,4
Liverpool Street,0.06,3
Uxbridge Road,0.06,3
Kentish Town,0.06,1
Wapping,0.06,3
Battersea,0.06,2
Bruton Street,0.06,3
South Ken,0.06,2
Cumberland Terrace,0.06,1
Grosveuor Square,0.06,1
Cheyne Gardens,0.06,5
Fulham,0.06,2
Clerkenwell,0.06,4
Euston,0.06,3
St. James' Park,0.06,1
Bow Road,0.05,2
Portman Street,0.05,2
Bethnal Green,0.05,2
Portman Square,0.05,2
Lincoln'S Inn Hall,0.05,2
Nunhead,0.05,2
Teddington,0.05,3
Serpentine Lake,0.05,1
Middle Temple Hall,0.05,2
